Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.0014944483870967743,1.4944483870967744,1494.4483870967742,pulse,1Hz,20250320_031635
2,0.0014487362637362635,1.4487362637362635,1448.7362637362635,pulse,1Hz,20250320_031635
3,0.0014542600732600731,1.454260073260073,1454.260073260073,pulse,1Hz,20250320_031635
4,0.001497307692307692,1.497307692307692,1497.3076923076922,pulse,1Hz,20250320_031635
5,0.0014533601518026565,1.4533601518026564,1453.3601518026564,pulse,1Hz,20250320_031635
6,0.0014582857142857138,1.4582857142857137,1458.2857142857138,pulse,1Hz,20250320_031635
7,0.0007615993589743594,0.7615993589743594,761.5993589743595,pulse,1Hz,20250320_031635
8,0.0006192051282051289,0.6192051282051289,619.2051282051289,pulse,1Hz,20250320_031635
9,0.001462756967670011,1.462756967670011,1462.756967670011,pulse,1Hz,20250320_031635
10,0.0006706990445859872,0.6706990445859872,670.6990445859872,pulse,1Hz,20250320_031635
