Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.00015808383233533675,0.15808383233533674,158.08383233533675,pulse,1Hz,20250325_222449,Invalid (outside 450-900µs range)
2,0.0007603529411764678,0.7603529411764678,760.3529411764678,pulse,1Hz,20250325_222449,Valid
3,0.000741882352941174,0.741882352941174,741.8823529411741,pulse,1Hz,20250325_222449,Valid
4,0.0007849799196787153,0.7849799196787154,784.9799196787153,pulse,1Hz,20250325_222449,Valid
5,0.0007146198830409344,0.7146198830409344,714.6198830409344,pulse,1Hz,20250325_222449,Valid
6,0.0007126578073089689,0.7126578073089689,712.6578073089689,pulse,1Hz,20250325_222449,Valid
7,0.0007462721893491098,0.7462721893491098,746.2721893491098,pulse,1Hz,20250325_222449,Valid
8,0.0007465798816568022,0.7465798816568022,746.5798816568022,pulse,1Hz,20250325_222449,Valid
9,0.0007378823529411742,0.7378823529411741,737.8823529411742,pulse,1Hz,20250325_222449,Valid
10,0.0007185798816568032,0.7185798816568032,718.5798816568032,pulse,1Hz,20250325_222449,Valid
11,0.0007263720930232541,0.7263720930232541,726.3720930232541,pulse,1Hz,20250325_222449,Valid
12,0.0007797005347593581,0.7797005347593582,779.7005347593581,pulse,1Hz,20250325_222449,Valid
13,0.000782948717948718,0.782948717948718,782.948717948718,pulse,1Hz,20250325_222449,Valid
14,0.0007326975287156262,0.7326975287156262,732.6975287156263,pulse,1Hz,20250325_222449,Valid
15,0.0007388235294117625,0.7388235294117624,738.8235294117625,pulse,1Hz,20250325_222449,Valid
16,0.0007793206223975451,0.7793206223975451,779.3206223975451,pulse,1Hz,20250325_222449,Valid
17,0.00077884724961648,0.77884724961648,778.84724961648,pulse,1Hz,20250325_222449,Valid
18,0.0007752484472049682,0.7752484472049682,775.2484472049682,pulse,1Hz,20250325_222449,Valid
19,0.0007349999999999978,0.7349999999999978,734.9999999999978,pulse,1Hz,20250325_222449,Valid
20,0.0007245964912280685,0.7245964912280685,724.5964912280685,pulse,1Hz,20250325_222449,Valid
21,0.0007461594202898524,0.7461594202898524,746.1594202898524,pulse,1Hz,20250325_222449,Valid
22,0.0007736393878908839,0.7736393878908839,773.6393878908839,pulse,1Hz,20250325_222449,Valid
23,0.000746352941176468,0.746352941176468,746.352941176468,pulse,1Hz,20250325_222449,Valid
24,0.0007733333333333323,0.7733333333333322,773.3333333333322,pulse,1Hz,20250325_222449,Valid
25,0.0007352631578947347,0.7352631578947347,735.2631578947347,pulse,1Hz,20250325_222449,Valid
26,0.0007135880398671083,0.7135880398671084,713.5880398671084,pulse,1Hz,20250325_222449,Valid
27,0.0007878266253869978,0.7878266253869978,787.8266253869978,pulse,1Hz,20250325_222449,Valid
28,0.0007619696969696943,0.7619696969696943,761.9696969696944,pulse,1Hz,20250325_222449,Valid
29,0.0007593023255813921,0.7593023255813921,759.3023255813921,pulse,1Hz,20250325_222449,Valid
30,0.0007680838323353275,0.7680838323353275,768.0838323353275,pulse,1Hz,20250325_222449,Valid
31,0.0007657309941520446,0.7657309941520446,765.7309941520446,pulse,1Hz,20250325_222449,Valid
32,0.000724352941176469,0.724352941176469,724.3529411764689,pulse,1Hz,20250325_222449,Valid
33,0.0007882571428571439,0.7882571428571439,788.2571428571439,pulse,1Hz,20250325_222449,Valid
34,0.0007408187134502901,0.7408187134502902,740.8187134502901,pulse,1Hz,20250325_222449,Valid
35,0.0008392829794639824,0.8392829794639823,839.2829794639823,pulse,1Hz,20250325_222449,Valid
36,0.0007501643655489782,0.7501643655489783,750.1643655489783,pulse,1Hz,20250325_222449,Valid
37,0.000667537619699043,0.667537619699043,667.537619699043,pulse,1Hz,20250325_222449,Valid
38,0.0007496909927679131,0.7496909927679132,749.6909927679131,pulse,1Hz,20250325_222449,Valid
39,0.0007545364891518708,0.7545364891518708,754.5364891518708,pulse,1Hz,20250325_222449,Valid
40,0.0007204146730462505,0.7204146730462505,720.4146730462505,pulse,1Hz,20250325_222449,Valid
41,0.0007456256684491953,0.7456256684491953,745.6256684491952,pulse,1Hz,20250325_222449,Valid
42,0.0007516608187134474,0.7516608187134475,751.6608187134474,pulse,1Hz,20250325_222449,Valid
43,0.0007088372093023245,0.7088372093023245,708.8372093023245,pulse,1Hz,20250325_222449,Valid
44,0.0007123976608187123,0.7123976608187123,712.3976608187123,pulse,1Hz,20250325_222449,Valid
45,0.0007133689839572179,0.7133689839572179,713.3689839572179,pulse,1Hz,20250325_222449,Valid
46,0.0007498571428571401,0.7498571428571401,749.8571428571402,pulse,1Hz,20250325_222449,Valid
47,0.000721228070175437,0.721228070175437,721.2280701754371,pulse,1Hz,20250325_222449,Valid
48,0.0007983529411764728,0.7983529411764728,798.3529411764728,pulse,1Hz,20250325_222449,Valid
49,0.0007876717262670448,0.7876717262670447,787.6717262670447,pulse,1Hz,20250325_222449,Valid
50,0.0007649798816568025,0.7649798816568025,764.9798816568025,pulse,1Hz,20250325_222449,Valid
51,0.0007684235294117629,0.7684235294117628,768.4235294117628,pulse,1Hz,20250325_222449,Valid
52,0.0007325798816568027,0.7325798816568027,732.5798816568027,pulse,1Hz,20250325_222449,Valid
53,0.0007350670794633622,0.7350670794633621,735.0670794633621,pulse,1Hz,20250325_222449,Valid
54,0.0007703571428571414,0.7703571428571414,770.3571428571414,pulse,1Hz,20250325_222449,Valid
55,0.0007331065088757375,0.7331065088757375,733.1065088757375,pulse,1Hz,20250325_222449,Valid
56,0.0007552493660185938,0.7552493660185938,755.2493660185938,pulse,1Hz,20250325_222449,Valid
57,0.0007098443752779002,0.7098443752779002,709.8443752779002,pulse,1Hz,20250325_222449,Valid
58,0.0007154127167630044,0.7154127167630044,715.4127167630045,pulse,1Hz,20250325_222449,Valid
59,0.0007934379084967337,0.7934379084967337,793.4379084967337,pulse,1Hz,20250325_222449,Valid
60,0.0007753606237816754,0.7753606237816754,775.3606237816754,pulse,1Hz,20250325_222449,Valid
61,0.0007146198830409343,0.7146198830409343,714.6198830409343,pulse,1Hz,20250325_222449,Valid
62,0.0007662071846282351,0.7662071846282351,766.207184628235,pulse,1Hz,20250325_222449,Valid
63,0.0007883333333333341,0.7883333333333341,788.3333333333342,pulse,1Hz,20250325_222449,Valid
64,0.0007709152288072001,0.7709152288072001,770.9152288072002,pulse,1Hz,20250325_222449,Valid
65,0.0007401349527665294,0.7401349527665294,740.1349527665294,pulse,1Hz,20250325_222449,Valid
66,0.0007354957983193256,0.7354957983193257,735.4957983193257,pulse,1Hz,20250325_222449,Valid
67,0.0007652631578947347,0.7652631578947346,765.2631578947347,pulse,1Hz,20250325_222449,Valid
68,0.0007588372093023224,0.7588372093023223,758.8372093023224,pulse,1Hz,20250325_222449,Valid
69,0.000760318690783804,0.760318690783804,760.3186907838041,pulse,1Hz,20250325_222449,Valid
70,0.0007583625730994121,0.758362573099412,758.3625730994121,pulse,1Hz,20250325_222449,Valid
71,0.0007583333333333303,0.7583333333333303,758.3333333333303,pulse,1Hz,20250325_222449,Valid
72,0.0007603823529411737,0.7603823529411736,760.3823529411736,pulse,1Hz,20250325_222449,Valid
73,0.0007319298245614016,0.7319298245614015,731.9298245614016,pulse,1Hz,20250325_222449,Valid
74,0.0007253094629155993,0.7253094629155994,725.3094629155994,pulse,1Hz,20250325_222449,Valid
75,0.0007242980189491801,0.7242980189491801,724.2980189491801,pulse,1Hz,20250325_222449,Valid
76,0.0007663529411764687,0.7663529411764687,766.3529411764687,pulse,1Hz,20250325_222449,Valid
77,0.0007239298245614019,0.7239298245614019,723.9298245614019,pulse,1Hz,20250325_222449,Valid
78,0.0007121568627450969,0.7121568627450968,712.1568627450969,pulse,1Hz,20250325_222449,Valid
79,0.000727670790747712,0.727670790747712,727.670790747712,pulse,1Hz,20250325_222449,Valid
80,0.0007585964912280671,0.758596491228067,758.5964912280671,pulse,1Hz,20250325_222449,Valid
81,0.0007188235294117632,0.7188235294117632,718.8235294117632,pulse,1Hz,20250325_222449,Valid
82,0.0007190643274853786,0.7190643274853786,719.0643274853786,pulse,1Hz,20250325_222449,Valid
83,0.0007412100840336111,0.7412100840336111,741.2100840336111,pulse,1Hz,20250325_222449,Valid
84,0.0007241568627450964,0.7241568627450964,724.1568627450964,pulse,1Hz,20250325_222449,Valid
85,0.0007186127167630044,0.7186127167630044,718.6127167630044,pulse,1Hz,20250325_222449,Valid
86,0.0007390588898281183,0.7390588898281183,739.0588898281184,pulse,1Hz,20250325_222449,Valid
87,0.0007709065088757382,0.7709065088757382,770.9065088757383,pulse,1Hz,20250325_222449,Valid
88,0.0007154279638490152,0.7154279638490152,715.4279638490152,pulse,1Hz,20250325_222449,Valid
89,0.0007510698314413457,0.7510698314413458,751.0698314413457,pulse,1Hz,20250325_222449,Valid
90,0.000705996992481202,0.705996992481202,705.996992481202,pulse,1Hz,20250325_222449,Valid
91,0.0007578698224852041,0.7578698224852041,757.869822485204,pulse,1Hz,20250325_222449,Valid
92,0.0007126643274853789,0.7126643274853789,712.6643274853789,pulse,1Hz,20250325_222449,Valid
93,0.0007487789133942953,0.7487789133942953,748.7789133942953,pulse,1Hz,20250325_222449,Valid
94,0.0007290751445086687,0.7290751445086687,729.0751445086687,pulse,1Hz,20250325_222449,Valid
95,0.000780118343195266,0.7801183431952661,780.118343195266,pulse,1Hz,20250325_222449,Valid
96,0.0007366149870801012,0.7366149870801012,736.6149870801012,pulse,1Hz,20250325_222449,Valid
97,0.000766552795031054,0.766552795031054,766.552795031054,pulse,1Hz,20250325_222449,Valid
98,0.0007670175438596473,0.7670175438596473,767.0175438596473,pulse,1Hz,20250325_222449,Valid
99,0.0007371956224350183,0.7371956224350183,737.1956224350183,pulse,1Hz,20250325_222449,Valid
100,0.0007465882352941151,0.7465882352941151,746.5882352941151,pulse,1Hz,20250325_222449,Valid
101,0.0007680244814688863,0.7680244814688864,768.0244814688863,pulse,1Hz,20250325_222449,Valid
