Time,CH1,CH2
-0.08,-1.76,0.016
-0.07992,-1.76,0.0
-0.07984000000000001,-1.76,0.016
-0.07976,-1.76,0.008
-0.07968,-1.78,0.0
-0.0796,-1.8,0.008
-0.07952000000000001,-1.76,0.016
-0.07944,-1.76,0.008
-0.07936,-1.78,0.024
-0.07928,-1.78,0.008
-0.0792,-1.76,0.0
-0.07912,-1.76,0.0
-0.07904,-1.78,0.016
-0.07896,-1.78,0.0
-0.07888,-1.8,0.016
-0.0788,-1.78,0.032
-0.07872,-1.78,-0.008
-0.07864,-1.8,0.04
-0.07856,-1.76,0.0
-0.07848000000000001,-1.78,-0.008
-0.0784,-1.78,0.008
-0.07832,-1.78,0.024
-0.07824,-1.78,-0.016
-0.07816000000000001,-1.8,0.016
-0.07808,-1.8,0.024
-0.078,-1.76,-0.016
-0.07792,-1.8,0.016
-0.07784,-1.76,0.0
-0.07776,-1.78,-0.016
-0.07768,-1.78,0.008
-0.0776,-1.78,0.016
-0.07752,-1.78,-0.016
-0.07744,-1.78,-0.008
-0.07736,-1.8,0.024
-0.07728,-1.78,-0.016
-0.0772,-1.8,0.0
-0.07712000000000001,-1.76,0.0
-0.07704,-1.76,0.0
-0.07696,-1.8,0.008
-0.07688,-1.78,0.0
-0.07680000000000001,-1.76,-0.016
-0.07672,-1.78,0.008
-0.07664,-1.8,0.016
-0.07656,-1.76,0.008
-0.07648,-1.76,-0.008
-0.0764,-1.76,0.008
-0.07632,-1.8,-0.024
-0.07624,-1.78,0.008
-0.07616,-1.78,0.016
-0.07608,-1.76,-0.008
-0.076,-1.76,0.008
-0.07592,-1.76,0.016
-0.07584,-1.76,-0.008
-0.07576,-1.76,-0.016
-0.07568,-1.8,0.008
-0.0756,-1.78,-0.024
-0.07552,-1.8,0.0
-0.07544000000000001,-1.76,0.008
-0.07536,-1.78,-0.024
-0.07528,-1.78,0.0
-0.0752,-1.8,0.032
-0.07512,-1.76,-0.016
-0.07504,-1.76,-0.008
-0.07496,-1.8,0.016
-0.07488,-1.76,0.0
-0.0748,-1.8,-0.008
-0.07472,-1.76,0.024
-0.07464,-1.76,-0.008
-0.07456,-1.78,0.0
-0.07448,-1.76,0.0
-0.0744,-1.76,0.0
-0.07432,-1.76,-0.008
-0.07424,-1.78,0.016
-0.07416,-1.76,-0.016
-0.07408000000000001,-1.78,0.008
-0.074,-1.78,0.024
-0.07392,-1.76,0.0
-0.07384,-1.76,0.0
-0.07376,-1.76,0.032
-0.07368,-1.78,0.0
-0.0736,-1.74,0.0
-0.07352,-1.8,0.016
