Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0007889770114942533,0.7889770114942533,788.9770114942534,puse,1Hz,20250320_220830,Valid
2,0.0007599771428571431,0.7599771428571431,759.9771428571431,puse,1Hz,20250320_220830,Valid
3,0.0007743540229885057,0.7743540229885058,774.3540229885057,puse,1Hz,20250320_220830,Valid
4,0.0007803103448275857,0.7803103448275858,780.3103448275857,puse,1Hz,20250320_220830,Valid
5,0.0007529310344827586,0.7529310344827587,752.9310344827586,puse,1Hz,20250320_220830,Valid
6,0.0007703929670329672,0.7703929670329672,770.3929670329672,puse,1Hz,20250320_220830,Valid
7,0.0008079537572254332,0.8079537572254332,807.9537572254333,puse,1Hz,20250320_220830,Valid
8,0.0007728061178587495,0.7728061178587494,772.8061178587494,puse,1Hz,20250320_220830,Valid
9,0.0008029999999999992,0.8029999999999993,802.9999999999992,puse,1Hz,20250320_220830,Valid
10,0.0008042950649350642,0.8042950649350642,804.2950649350641,puse,1Hz,20250320_220830,Valid
