Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency
1,0.0009558064516129034,0.9558064516129035,955.8064516129034,pulse,20Hz
2,0.0009649408983451533,0.9649408983451533,964.9408983451533,pulse,20Hz
3,0.0009634731182795695,0.9634731182795695,963.4731182795695,pulse,20Hz
4,0.000961601063829787,0.961601063829787,961.601063829787,pulse,20Hz
5,0.0009388854337152208,0.9388854337152208,938.8854337152209,pulse,20Hz
6,0.0009413673385438089,0.9413673385438089,941.367338543809,pulse,20Hz
7,0.0009469931534434153,0.9469931534434154,946.9931534434154,pulse,20Hz
8,0.0009398716577540105,0.9398716577540105,939.8716577540106,pulse,20Hz
9,0.0009406306878306876,0.9406306878306876,940.6306878306876,pulse,20Hz
10,0.0009471237911025137,0.9471237911025137,947.1237911025137,pulse,20Hz
11,0.0009453691493691488,0.9453691493691488,945.3691493691488,pulse,20Hz
12,0.0009488085106382971,0.9488085106382972,948.8085106382971,pulse,20Hz
13,0.0009560337837837841,0.9560337837837841,956.0337837837841,pulse,20Hz
14,0.0009568314496314498,0.9568314496314498,956.8314496314498,pulse,20Hz
15,0.0009518510638297869,0.9518510638297869,951.8510638297869,pulse,20Hz
16,0.0009592796352583586,0.9592796352583586,959.2796352583586,pulse,20Hz
17,0.0009610818330605562,0.9610818330605562,961.0818330605562,pulse,20Hz
18,0.0009624527629233508,0.9624527629233508,962.4527629233509,pulse,20Hz
19,0.0009641843971631202,0.9641843971631202,964.1843971631201,pulse,20Hz
20,0.0009660732860520092,0.9660732860520093,966.0732860520093,pulse,20Hz
