Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.000519024883566201,0.519024883566201,519.024883566201,Pulse,1Hz,20250325_185543,Valid
2,0.0005179947928994083,0.5179947928994083,517.9947928994083,Pulse,1Hz,20250325_185543,Valid
3,0.0005199337278106509,0.519933727810651,519.9337278106509,Pulse,1Hz,20250325_185543,Valid
4,0.0005180137278106508,0.5180137278106508,518.0137278106508,Pulse,1Hz,20250325_185543,Valid
5,0.0005173647058823529,0.5173647058823528,517.3647058823528,Pulse,1Hz,20250325_185543,Valid
6,0.0005158721893491125,0.5158721893491125,515.8721893491124,Pulse,1Hz,20250325_185543,Valid
7,0.0005186537278106509,0.5186537278106509,518.6537278106509,Pulse,1Hz,20250325_185543,Valid
8,0.0005200389915966387,0.5200389915966387,520.0389915966387,Pulse,1Hz,20250325_185543,Valid
9,0.0005152309270216965,0.5152309270216965,515.2309270216965,Pulse,1Hz,20250325_185543,Valid
10,0.0005172137278106508,0.5172137278106508,517.2137278106508,Pulse,1Hz,20250325_185543,Valid
11,0.0005165337278106508,0.5165337278106509,516.5337278106508,Pulse,1Hz,20250325_185543,Valid
12,0.0005204571428571429,0.5204571428571428,520.4571428571429,Pulse,1Hz,20250325_185543,Valid
13,0.000515133727810651,0.515133727810651,515.1337278106511,Pulse,1Hz,20250325_185543,Valid
14,0.0005183337278106509,0.5183337278106509,518.3337278106509,Pulse,1Hz,20250325_185543,Valid
15,0.0005183431952662722,0.5183431952662723,518.3431952662722,Pulse,1Hz,20250325_185543,Valid
16,0.0005212862214708369,0.5212862214708369,521.286221470837,Pulse,1Hz,20250325_185543,Valid
17,0.0005203431952662723,0.5203431952662723,520.3431952662722,Pulse,1Hz,20250325_185543,Valid
18,0.0005157647058823529,0.5157647058823529,515.7647058823529,Pulse,1Hz,20250325_185543,Valid
19,0.0005192064550833781,0.5192064550833781,519.2064550833782,Pulse,1Hz,20250325_185543,Valid
