Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.0005129863680623179,0.5129863680623179,512.986368062318,pulse,1Hz,20250320_020859
2,0.0005071561771561769,0.5071561771561769,507.1561771561769,pulse,1Hz,20250320_020859
3,0.0005141728395061735,0.5141728395061734,514.1728395061734,pulse,1Hz,20250320_020859
4,0.0005119523809523813,0.5119523809523813,511.95238095238125,pulse,1Hz,20250320_020859
5,0.0005130909090909095,0.5130909090909096,513.0909090909096,pulse,1Hz,20250320_020859
6,0.0005104047387211945,0.5104047387211944,510.40473872119446,pulse,1Hz,20250320_020859
7,0.0005123085951477853,0.5123085951477853,512.3085951477852,pulse,1Hz,20250320_020859
8,0.0005101917502787068,0.5101917502787068,510.1917502787068,pulse,1Hz,20250320_020859
9,0.0005073588089330023,0.5073588089330022,507.35880893300225,pulse,1Hz,20250320_020859
10,0.0005125970357454232,0.5125970357454231,512.5970357454231,pulse,1Hz,20250320_020859
