Time,CH1,CH2
-0.008,-1.58,0.032
-0.007992,-1.58,0.024
-0.007984,-1.58,0.04
-0.007976,-1.56,0.032
-0.007968,-1.6,0.016
-0.00796,-1.58,0.016
-0.007952,-1.6,0.04
-0.007944,-1.58,0.032
-0.007936,-1.58,0.048
-0.007928000000000001,-1.6,0.04
-0.00792,-1.6,0.04
-0.007912,-1.58,0.016
-0.007904,-1.6,0.04
-0.007896,-1.6,0.032
-0.007888000000000001,-1.6,0.008
-0.00788,-1.58,0.032
-0.007872,-1.58,0.032
-0.007864,-1.58,0.024
-0.007856,-1.58,0.032
-0.007848,-1.56,0.024
-0.00784,-1.58,0.04
-0.007832,-1.58,0.032
-0.007824,-1.6,0.016
-0.007816,-1.56,0.016
-0.007808,-1.58,0.032
-0.0078000000000000005,-1.58,0.032
-0.007792,-1.58,0.04
-0.007784,-1.58,0.032
-0.007776,-1.6,0.04
-0.007768000000000001,-1.58,0.024
-0.00776,-1.6,0.016
-0.007752,-1.58,0.032
-0.007744,-1.62,0.024
-0.007736,-1.58,0.04
-0.0077280000000000005,-1.58,0.032
-0.00772,-1.56,0.032
-0.007712,-1.58,0.032
-0.007704,-1.58,0.032
-0.007696000000000001,-1.58,0.048
-0.007688,-1.58,0.04
-0.00768,-1.58,0.032
-0.007672,-1.58,0.008
-0.007664,-1.58,0.032
-0.0076560000000000005,-1.58,0.04
-0.007648,-1.6,0.04
-0.00764,-1.6,0.04
-0.007632,-1.6,0.024
-0.007624000000000001,-1.58,0.016
-0.007616,-1.58,0.032
-0.007608,-1.58,0.032
-0.0076,-1.62,0.008
-0.007592,-1.56,0.032
-0.0075840000000000005,-1.6,0.032
-0.007576,-1.58,0.032
-0.007568,-1.6,0.024
-0.00756,-1.58,0.024
-0.0075520000000000006,-1.58,0.048
-0.007544,-1.58,0.048
-0.007536,-1.6,0.024
-0.007528,-1.58,0.024
-0.007520000000000001,-1.6,0.032
-0.0075120000000000004,-1.58,0.04
-0.007504,-1.6,0.032
-0.007496,-1.58,0.032
-0.007488,-1.58,0.032
-0.0074800000000000005,-1.58,0.024
-0.007472,-1.58,0.024
-0.007464,-1.56,0.008
-0.007456,-1.6,0.016
-0.007448,-1.58,0.032
-0.00744,-1.6,0.024
-0.007432,-1.58,0.024
-0.007424,-1.58,0.032
-0.007416,-1.58,0.04
-0.0074080000000000005,-1.58,0.04
-0.0074,-1.56,0.07200000000000001
-0.007392,-1.6,0.032
-0.007384,-1.56,0.04
-0.007376000000000001,-1.58,0.024
-0.007368,-1.58,0.032
-0.00736,-1.6,0.048
-0.007352,-1.58,0.04
-0.007344,-1.6,0.008
-0.0073360000000000005,-1.6,0.024
-0.007328,-1.6,0.016
-0.00732,-1.58,0.032
-0.007312,-1.6,0.016
-0.007304,-1.58,0.04
-0.007296,-1.56,0.07200000000000001
-0.007288,-1.58,0.04
-0.00728,-1.58,0.032
-0.007272000000000001,-1.58,0.032
-0.0072640000000000005,-1.58,0.048
-0.007256,-1.56,0.07200000000000001
-0.007248,-1.56,0.032
-0.00724,-1.58,0.04
-0.007232000000000001,-1.58,0.032
-0.007224,-1.58,0.04
-0.007216,-1.6,0.032
-0.007208,-1.58,0.048
-0.0072,-1.58,0.0
-0.0071920000000000005,-1.58,0.024
-0.007184,-1.58,0.048
-0.007176,-1.58,0.024
-0.007168,-1.6,0.008
-0.0071600000000000006,-1.6,0.04
-0.007152,-1.6,0.024
-0.007144,-1.58,0.032
-0.007136,-1.6,0.04
-0.007128000000000001,-1.58,0.04
-0.0071200000000000005,-1.6,0.048
-0.007112,-1.58,0.064
-0.007104,-1.6,0.032
-0.007096,-1.56,0.064
-0.0070880000000000006,-1.6,0.032
-0.00708,-1.6,0.048
-0.007072,-1.6,0.04
-0.007064,-1.6,0.024
-0.007056,-1.58,0.024
-0.0070480000000000004,-1.58,0.04
-0.00704,-1.56,0.016
-0.007032,-1.58,0.016
-0.007024,-1.6,0.008
-0.0070160000000000005,-1.58,0.04
-0.007008,-1.58,0.024
-0.007,-1.58,0.04
-0.006992,-1.58,0.024
-0.006984000000000001,-1.58,0.04
-0.006976,-1.58,0.048
-0.006968,-1.58,0.07200000000000001
-0.00696,-1.6,0.04
-0.006952,-1.58,0.032
-0.0069440000000000005,-1.6,0.032
-0.006936,-1.58,0.048
-0.006928,-1.6,0.032
-0.00692,-1.58,0.032
-0.006912,-1.6,0.008
-0.006904,-1.6,0.016
-0.006896,-1.58,0.0
-0.006888,-1.56,0.024
-0.006880000000000001,-1.6,0.016
-0.0068720000000000005,-1.58,0.032
-0.006864,-1.6,0.016
-0.006856,-1.58,0.04
-0.006848,-1.56,0.032
-0.006840000000000001,-1.58,0.048
-0.006832,-1.58,0.048
-0.006824,-1.58,0.056
-0.006816,-1.58,0.032
-0.006808,-1.58,0.032
-0.0068000000000000005,-1.6,0.032
-0.006792,-1.58,0.04
-0.006784,-1.58,0.016
-0.006776,-1.6,0.04
-0.006768,-1.58,0.008
-0.00676,-1.58,0.024
-0.006752,-1.6,0.008
-0.006744,-1.58,0.016
-0.006736000000000001,-1.6,0.008
-0.0067280000000000005,-1.58,0.032
-0.00672,-1.58,0.024
-0.006712,-1.6,0.032
-0.006704,-1.56,0.032
-0.0066960000000000006,-1.6,0.04
-0.006688,-1.58,0.04
-0.00668,-1.58,0.07200000000000001
-0.006672,-1.58,0.04
-0.006664,-1.58,0.04
-0.0066560000000000005,-1.6,0.024
-0.006648,-1.58,0.04
-0.00664,-1.58,0.024
-0.006632000000000001,-1.58,0.024
-0.0066240000000000005,-1.6,0.008
-0.006616,-1.58,0.016
-0.006608,-1.6,-0.008
-0.0066,-1.58,0.016
-0.006592000000000001,-1.58,0.016
-0.0065840000000000004,-1.58,0.032
-0.006576,-1.6,0.032
-0.006568,-1.58,0.048
-0.00656,-1.58,0.024
-0.0065520000000000005,-1.58,0.048
-0.006544,-1.58,0.04
-0.006536,-1.58,0.064
-0.006528,-1.58,0.032
-0.00652,-1.58,0.032
