Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency
1,0.0005187812500000006,0.5187812500000005,518.7812500000006,pulse,20Hz
2,0.0005208629921259846,0.5208629921259846,520.8629921259846,pulse,20Hz
3,0.000521407480314961,0.521407480314961,521.4074803149609,pulse,20Hz
4,0.0005185389326334215,0.5185389326334214,518.5389326334215,pulse,20Hz
5,0.0005189720830350757,0.5189720830350757,518.9720830350757,pulse,20Hz
6,0.0005230103605470371,0.5230103605470371,523.0103605470371,pulse,20Hz
7,0.0005200312500000005,0.5200312500000005,520.0312500000006,pulse,20Hz
8,0.0005206344206974133,0.5206344206974133,520.6344206974132,pulse,20Hz
9,0.0005166079545454554,0.5166079545454554,516.6079545454553,pulse,20Hz
10,0.0005180312500000007,0.5180312500000007,518.0312500000007,pulse,20Hz
11,0.0005178722659667549,0.5178722659667548,517.8722659667549,pulse,20Hz
12,0.000521710050949514,0.5217100509495141,521.710050949514,pulse,20Hz
13,0.0005224756944444448,0.5224756944444447,522.4756944444448,pulse,20Hz
14,0.0005197151660390283,0.5197151660390282,519.7151660390283,pulse,20Hz
15,0.0005183029921259849,0.5183029921259849,518.3029921259849,pulse,20Hz
16,0.0005189112500000007,0.5189112500000007,518.9112500000007,pulse,20Hz
17,0.0005171221590909099,0.5171221590909099,517.1221590909099,pulse,20Hz
18,0.0005178944881889771,0.5178944881889771,517.8944881889771,pulse,20Hz
19,0.0005168883928571437,0.5168883928571437,516.8883928571437,pulse,20Hz
20,0.0005205312500000005,0.5205312500000004,520.5312500000005,pulse,20Hz
