Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0005373223613595709,0.5373223613595709,537.3223613595709,puse,1Hz,20250320_214359,Valid
2,0.0005306128526645764,0.5306128526645764,530.6128526645764,puse,1Hz,20250320_214359,Valid
3,0.0005349142857142856,0.5349142857142856,534.9142857142856,puse,1Hz,20250320_214359,Valid
4,0.0005293499906768596,0.5293499906768596,529.3499906768595,puse,1Hz,20250320_214359,Valid
5,0.0005344246112237997,0.5344246112237997,534.4246112237997,puse,1Hz,20250320_214359,Valid
6,0.0005374454972875228,0.5374454972875228,537.4454972875228,puse,1Hz,20250320_214359,Valid
7,0.0005386530054644807,0.5386530054644807,538.6530054644807,puse,1Hz,20250320_214359,Valid
8,0.0005316507268170421,0.5316507268170422,531.6507268170421,puse,1Hz,20250320_214359,Valid
9,0.0005325747126436778,0.5325747126436777,532.5747126436778,puse,1Hz,20250320_214359,Valid
10,0.0005331265121268097,0.5331265121268097,533.1265121268096,puse,1Hz,20250320_214359,Valid
