Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.0005311483870967737,0.5311483870967737,531.1483870967737,pulse,1Hz,20250320_021858
2,0.0005269090909090908,0.5269090909090908,526.9090909090908,pulse,1Hz,20250320_021858
3,0.0005404188034188039,0.5404188034188039,540.4188034188039,pulse,1Hz,20250320_021858
4,0.0005370121381886087,0.5370121381886087,537.0121381886087,pulse,1Hz,20250320_021858
5,0.0005322243589743585,0.5322243589743585,532.2243589743584,pulse,1Hz,20250320_021858
6,0.000533749044585987,0.5337490445859869,533.7490445859869,pulse,1Hz,20250320_021858
7,0.000525224358974359,0.525224358974359,525.224358974359,pulse,1Hz,20250320_021858
8,0.0005219220779220783,0.5219220779220782,521.9220779220783,pulse,1Hz,20250320_021858
9,0.000533334841628959,0.533334841628959,533.334841628959,pulse,1Hz,20250320_021858
10,0.0005419491228070175,0.5419491228070175,541.9491228070175,pulse,1Hz,20250320_021858
