Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0005080242424242446,0.5080242424242446,508.02424242424456,pulse,1Hz,20250325_201454,Valid
2,0.0005086616541353404,0.5086616541353404,508.66165413534037,pulse,1Hz,20250325_201454,Valid
3,0.00032758441558441395,0.327584415584414,327.58441558441393,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
4,0.0005104575424575428,0.5104575424575428,510.45754245754284,pulse,1Hz,20250325_201454,Valid
5,0.0004978736842105265,0.49787368421052647,497.87368421052645,pulse,1Hz,20250325_201454,Valid
6,0.0005174961038961038,0.5174961038961039,517.4961038961038,pulse,1Hz,20250325_201454,Valid
7,0.0005201419913419915,0.5201419913419915,520.1419913419915,pulse,1Hz,20250325_201454,Valid
8,0.0005114947368421056,0.5114947368421056,511.49473684210557,pulse,1Hz,20250325_201454,Valid
9,0.0005113824561403512,0.5113824561403512,511.38245614035117,pulse,1Hz,20250325_201454,Valid
10,0.0005119168831168834,0.5119168831168834,511.9168831168834,pulse,1Hz,20250325_201454,Valid
11,0.0005127376623376627,0.5127376623376627,512.7376623376626,pulse,1Hz,20250325_201454,Valid
12,0.0005171157894736842,0.5171157894736842,517.1157894736842,pulse,1Hz,20250325_201454,Valid
13,0.0005170753246753247,0.5170753246753247,517.0753246753247,pulse,1Hz,20250325_201454,Valid
14,0.0002506753246753247,0.2506753246753247,250.67532467532473,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
15,0.00019993766233766244,0.19993766233766244,199.93766233766243,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
16,0.0005211774358974359,0.5211774358974359,521.1774358974359,pulse,1Hz,20250325_201454,Valid
17,0.0005187157894736842,0.5187157894736842,518.7157894736843,pulse,1Hz,20250325_201454,Valid
18,0.0004964512820512821,0.49645128205128214,496.45128205128213,pulse,1Hz,20250325_201454,Valid
19,0.0005012491228070175,0.5012491228070175,501.24912280701756,pulse,1Hz,20250325_201454,Valid
20,0.0005113824561403512,0.5113824561403512,511.38245614035117,pulse,1Hz,20250325_201454,Valid
21,0.0005014974358974359,0.5014974358974359,501.49743589743593,pulse,1Hz,20250325_201454,Valid
22,0.0004971157894736841,0.4971157894736841,497.1157894736841,pulse,1Hz,20250325_201454,Valid
23,0.0005135157894736845,0.5135157894736846,513.5157894736845,pulse,1Hz,20250325_201454,Valid
24,0.0005128976623376627,0.5128976623376627,512.8976623376627,pulse,1Hz,20250325_201454,Valid
25,0.00035618461538461545,0.35618461538461543,356.1846153846154,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
26,0.000514028070175439,0.514028070175439,514.028070175439,pulse,1Hz,20250325_201454,Valid
27,0.0005160757894736843,0.5160757894736843,516.0757894736843,pulse,1Hz,20250325_201454,Valid
28,0.0005031376623376624,0.5031376623376624,503.13766233766245,pulse,1Hz,20250325_201454,Valid
29,0.0005041192982456142,0.5041192982456142,504.11929824561423,pulse,1Hz,20250325_201454,Valid
30,0.0005075376623376625,0.5075376623376625,507.53766233766254,pulse,1Hz,20250325_201454,Valid
31,0.0004991157894736842,0.4991157894736842,499.1157894736842,pulse,1Hz,20250325_201454,Valid
32,0.0005022753246753248,0.5022753246753248,502.2753246753248,pulse,1Hz,20250325_201454,Valid
33,0.0005068176623376625,0.5068176623376625,506.81766233766245,pulse,1Hz,20250325_201454,Valid
34,0.0005087179487179489,0.508717948717949,508.71794871794896,pulse,1Hz,20250325_201454,Valid
35,0.0005182933333333333,0.5182933333333334,518.2933333333333,pulse,1Hz,20250325_201454,Valid
36,0.0005171157894736842,0.5171157894736842,517.1157894736842,pulse,1Hz,20250325_201454,Valid
37,4.631578947368447e-05,0.04631578947368447,46.31578947368447,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
38,0.00014871578947368434,0.14871578947368436,148.71578947368434,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
39,0.0005132872180451131,0.5132872180451131,513.287218045113,pulse,1Hz,20250325_201454,Valid
40,0.0004991376623376623,0.4991376623376623,499.13766233766233,pulse,1Hz,20250325_201454,Valid
41,0.0005055368421052633,0.5055368421052634,505.53684210526336,pulse,1Hz,20250325_201454,Valid
42,0.00035951794871794877,0.3595179487179488,359.5179487179488,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
43,0.0005039157894736843,0.5039157894736843,503.9157894736843,pulse,1Hz,20250325_201454,Valid
44,0.0005059376623376625,0.5059376623376625,505.9376623376625,pulse,1Hz,20250325_201454,Valid
45,0.0005102947368421056,0.5102947368421056,510.2947368421056,pulse,1Hz,20250325_201454,Valid
46,0.000503709090909091,0.503709090909091,503.709090909091,pulse,1Hz,20250325_201454,Valid
47,0.0005156502164502166,0.5156502164502166,515.6502164502166,pulse,1Hz,20250325_201454,Valid
48,0.0005163179487179488,0.5163179487179488,516.3179487179488,pulse,1Hz,20250325_201454,Valid
49,0.00045251578947368436,0.45251578947368437,452.5157894736844,pulse,1Hz,20250325_201454,Valid
50,0.0005064757894736844,0.5064757894736844,506.4757894736844,pulse,1Hz,20250325_201454,Valid
51,0.0005087168831168833,0.5087168831168833,508.7168831168833,pulse,1Hz,20250325_201454,Valid
52,0.0004975376623376623,0.4975376623376623,497.5376623376623,pulse,1Hz,20250325_201454,Valid
53,0.0005033614035087721,0.5033614035087721,503.36140350877207,pulse,1Hz,20250325_201454,Valid
54,0.0005028307692307693,0.5028307692307693,502.83076923076925,pulse,1Hz,20250325_201454,Valid
55,0.0005099168831168833,0.5099168831168833,509.91688311688335,pulse,1Hz,20250325_201454,Valid
56,2.2315789473684318e-05,0.022315789473684317,22.31578947368432,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
57,,,,pulse,1Hz,20250325_201454,Failed
58,,,,pulse,1Hz,20250325_201454,Failed
59,2.2337662337662448e-05,0.022337662337662448,22.337662337662447,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
60,,,,pulse,1Hz,20250325_201454,Failed
61,,,,pulse,1Hz,20250325_201454,Failed
62,,,,pulse,1Hz,20250325_201454,Failed
63,,,,pulse,1Hz,20250325_201454,Failed
64,3.0961038961039712e-06,0.003096103896103971,3.0961038961039713,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
65,,,,pulse,1Hz,20250325_201454,Failed
66,2.2337662337662448e-05,0.022337662337662448,22.337662337662447,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
67,3.1179487179487936e-06,0.0031179487179487935,3.1179487179487935,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
68,1.9094736842105293e-05,0.019094736842105293,19.09473684210529,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
69,,,,pulse,1Hz,20250325_201454,Failed
70,2.315789473684267e-06,0.0023157894736842667,2.315789473684267,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
71,3.191688311688346e-05,0.03191688311688346,31.916883116883458,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
72,,,,pulse,1Hz,20250325_201454,Failed
73,,,,pulse,1Hz,20250325_201454,Failed
74,,,,pulse,1Hz,20250325_201454,Failed
75,,,,pulse,1Hz,20250325_201454,Failed
76,6.317948717948871e-06,0.006317948717948872,6.317948717948871,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
77,9.515789473684442e-06,0.009515789473684443,9.515789473684443,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
78,1.2737662337662647e-05,0.012737662337662646,12.737662337662647,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
79,1.0315789473684462e-05,0.010315789473684462,10.315789473684461,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
80,,,,pulse,1Hz,20250325_201454,Failed
81,6.3157894736843645e-06,0.006315789473684365,6.315789473684364,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
82,3.0947368421053385e-06,0.0030947368421053384,3.0947368421053385,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
83,,,,pulse,1Hz,20250325_201454,Failed
84,,,,pulse,1Hz,20250325_201454,Failed
85,,,,pulse,1Hz,20250325_201454,Failed
86,,,,pulse,1Hz,20250325_201454,Failed
87,,,,pulse,1Hz,20250325_201454,Failed
88,,,,pulse,1Hz,20250325_201454,Failed
89,,,,pulse,1Hz,20250325_201454,Failed
90,5.494736842105397e-06,0.005494736842105397,5.494736842105397,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
91,0.000511875324675325,0.511875324675325,511.875324675325,pulse,1Hz,20250325_201454,Valid
92,0.0005129419913419917,0.5129419913419917,512.9419913419918,pulse,1Hz,20250325_201454,Valid
