Time,CH1,CH2
-0.0032,0.0,0.016
-0.0031968,0.0,0.024
-0.0031936,0.0,-0.008
-0.0031904000000000004,0.0,-0.008
-0.0031872000000000003,0.0,-0.024
-0.003184,-0.04,-0.008
-0.0031808,0.0,0.032
-0.0031776,0.0,0.008
-0.0031744,0.0,0.04
-0.0031712000000000003,0.0,-0.008
-0.0031680000000000002,-0.04,-0.008
-0.0031648,0.0,-0.008
-0.0031616,0.0,-0.024
-0.0031584,-0.04,0.008
-0.0031552000000000004,0.0,0.0
-0.0031520000000000003,0.0,0.008
-0.0031488,0.0,0.0
-0.0031456,0.0,-0.016
-0.0031424,0.0,-0.016
-0.0031392,0.0,-0.024
-0.0031360000000000003,0.04,-0.04
-0.0031328000000000003,0.0,0.0
-0.0031296,0.0,0.0
-0.0031264,0.0,0.016
-0.0031232,0.0,0.016
-0.0031200000000000004,0.0,-0.016
-0.0031168000000000003,0.0,-0.008
-0.0031136000000000002,0.0,-0.024
-0.0031104,-0.04,0.008
-0.0031072,0.0,0.016
-0.003104,0.0,0.016
-0.0031008000000000003,0.0,0.008
-0.0030976000000000003,0.0,-0.024
-0.0030944,0.0,0.0
-0.0030912,-0.04,-0.024
-0.003088,-0.04,0.008
-0.0030848,-0.04,0.024
-0.0030816000000000003,-0.04,0.024
-0.0030784000000000002,0.0,0.016
-0.0030752,0.0,0.008
-0.003072,0.0,0.0
-0.0030688,-0.04,0.0
-0.0030656000000000004,0.0,-0.008
-0.0030624000000000003,-0.04,0.0
-0.0030592,0.0,0.032
-0.003056,0.0,0.016
-0.0030528,0.0,0.04
-0.0030496,0.0,-0.008
-0.0030464000000000003,0.0,-0.016
-0.0030432000000000002,-0.04,-0.016
-0.00304,0.0,-0.024
-0.0030368,0.0,0.024
-0.0030336,0.0,0.008
-0.0030304,-0.04,0.024
-0.0030272000000000003,0.0,-0.008
-0.003024,0.0,-0.016
-0.0030208,0.0,0.0
-0.0030176,-0.04,-0.016
-0.0030144,0.0,0.0
-0.0030112000000000003,0.0,0.0
-0.0030080000000000003,-0.04,0.024
-0.0030048,0.0,0.0
-0.0030016,0.0,-0.008
-0.0029984,0.0,-0.024
-0.0029952,0.0,-0.016
-0.0029920000000000003,-0.04,-0.032
-0.0029888000000000002,-0.04,0.008
-0.0029856,0.04,0.008
-0.0029824,-0.04,0.008
-0.0029792,0.0,0.008
-0.0029760000000000003,0.0,-0.024
-0.0029728000000000003,0.0,-0.016
-0.0029696,0.0,-0.024
-0.0029664,0.0,0.016
-0.0029632,-0.04,0.024
-0.00296,0.0,0.008
-0.0029568000000000003,-0.04,0.008
-0.0029536000000000002,0.0,-0.016
-0.0029504,0.0,0.008
-0.0029472,0.0,0.0
-0.002944,0.0,0.008
-0.0029408000000000004,0.0,0.024
-0.0029376000000000003,0.0,0.024
-0.0029344,0.0,0.016
-0.0029312,-0.04,0.016
-0.002928,0.0,0.0
-0.0029248,0.0,0.0
-0.0029216000000000003,0.0,0.008
-0.0029184000000000002,0.0,0.008
-0.0029152,0.0,0.032
-0.002912,0.0,0.008
-0.0029088,0.0,0.04
-0.0029056000000000004,0.0,0.0
-0.0029024000000000003,-0.04,-0.024
-0.0028992,-0.04,-0.008
-0.002896,0.0,-0.016
-0.0028928,0.0,0.016
-0.0028896,-0.04,0.008
-0.0028864000000000003,0.0,0.032
-0.0028832000000000003,0.0,-0.008
-0.00288,0.0,-0.016
-0.0028768,0.0,-0.016
-0.0028736,0.0,-0.008
-0.0028704000000000004,-0.04,-0.024
-0.0028672000000000003,0.0,0.008
-0.0028640000000000002,-0.04,0.016
-0.0028608,0.0,0.008
-0.0028576,-0.04,0.0
-0.0028544,0.0,-0.016
-0.0028512000000000003,0.0,-0.016
-0.0028480000000000003,0.0,-0.04
-0.0028448,0.0,0.008
-0.0028416,0.0,0.008
-0.0028384,0.0,0.016
-0.0028352000000000004,0.0,0.008
-0.0028320000000000003,-0.04,-0.032
-0.0028288000000000002,0.0,-0.016
-0.0028256,0.0,-0.032
-0.0028224,0.0,0.008
-0.0028192,0.0,0.008
-0.002816,0.0,0.008
-0.0028128000000000003,0.0,0.016
-0.0028096,-0.04,-0.016
-0.0028064,-0.04,-0.008
-0.0028032,0.0,-0.008
-0.0028000000000000004,0.0,0.0
-0.0027968000000000003,0.0,0.008
-0.0027936000000000002,-0.04,0.024
-0.0027904,0.0,0.016
-0.0027872,0.0,0.008
-0.002784,-0.04,-0.008
-0.0027808,-0.04,-0.008
-0.0027776000000000003,0.0,-0.008
-0.0027744,0.0,0.0
-0.0027712,0.0,0.016
-0.002768,0.0,0.008
-0.0027648000000000004,0.0,0.04
-0.0027616000000000003,0.04,-0.008
-0.0027584000000000003,0.0,-0.016
-0.0027552,0.0,-0.008
-0.002752,0.0,-0.016
-0.0027488,-0.04,0.024
-0.0027456,0.0,-0.008
-0.0027424000000000003,0.0,0.032
-0.0027392000000000002,0.0,-0.008
-0.002736,0.0,-0.024
-0.0027328,0.0,-0.016
-0.0027296,0.0,-0.016
-0.0027264000000000004,0.0,-0.008
-0.0027232000000000003,0.0,0.008
-0.00272,0.0,0.008
-0.0027168,0.0,0.008
-0.0027136,0.0,0.008
-0.0027104,0.0,-0.016
-0.0027072000000000003,0.0,-0.008
-0.0027040000000000002,-0.04,-0.032
-0.0027008,-0.04,0.0
-0.0026976,0.0,0.008
-0.0026944000000000004,0.0,0.016
-0.0026912000000000004,0.0,0.016
-0.0026880000000000003,0.0,-0.024
-0.0026848,-0.04,0.008
-0.0026816,-0.04,-0.016
-0.0026784,0.0,0.0
-0.0026752,0.0,0.024
-0.0026720000000000003,-0.04,0.024
-0.0026688000000000003,0.0,0.016
-0.0026656,0.0,-0.008
-0.0026624,0.0,-0.008
-0.0026592,0.0,-0.008
-0.0026560000000000004,0.0,-0.016
-0.0026528000000000003,0.0,0.016
-0.0026496000000000002,0.0,0.024
-0.0026464,0.0,0.016
-0.0026432,0.0,0.032
-0.00264,0.0,-0.008
-0.0026368,0.0,-0.008
-0.0026336000000000003,0.0,-0.016
-0.0026304,-0.08,0.0
-0.0026272,0.0,0.024
-0.002624,0.0,0.016
-0.0026208000000000004,0.0,0.016
-0.0026176000000000003,-0.04,0.0
-0.0026144000000000002,0.0,-0.008
-0.0026112,0.04,-0.008
-0.002608,0.0,-0.024
-0.0026048,-0.04,-0.016
-0.0026016,0.0,0.008
-0.0025984000000000003,0.0,0.032
-0.0025952,0.0,-0.008
-0.002592,0.0,-0.008
-0.0025888,0.0,-0.008
-0.0025856000000000004,-0.04,-0.008
-0.0025824000000000003,0.0,-0.016
-0.0025792000000000002,0.0,0.016
-0.002576,0.0,0.0
-0.0025728,0.0,0.008
-0.0025696,0.0,0.0
