Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency
1,0.000571255598455598,0.571255598455598,571.255598455598,pulse,20Hz
2,0.0005721418439716308,0.5721418439716308,572.1418439716308,pulse,20Hz
3,0.0005731843971631203,0.5731843971631203,573.1843971631204,pulse,20Hz
4,0.0005762955082742318,0.5762955082742318,576.2955082742318,pulse,20Hz
5,0.0005716585858585854,0.5716585858585854,571.6585858585854,pulse,20Hz
6,0.0005775440729483286,0.5775440729483287,577.5440729483287,pulse,20Hz
7,0.0005764870423693955,0.5764870423693955,576.4870423693956,pulse,20Hz
8,0.0005553640661938526,0.5553640661938526,555.3640661938526,pulse,20Hz
9,0.0005567415204678356,0.5567415204678356,556.7415204678356,pulse,20Hz
10,0.0005587176015473883,0.5587176015473884,558.7176015473883,pulse,20Hz
11,0.0005641162029459903,0.5641162029459903,564.1162029459904,pulse,20Hz
12,0.0005581428165007107,0.5581428165007106,558.1428165007106,pulse,20Hz
13,0.0005658758072528561,0.5658758072528561,565.8758072528561,pulse,20Hz
14,0.0005614973544973544,0.5614973544973544,561.4973544973544,pulse,20Hz
15,0.0005629196217494091,0.562919621749409,562.9196217494091,pulse,20Hz
16,0.0005580307328605195,0.5580307328605195,558.0307328605195,pulse,20Hz
17,0.0005675229955229955,0.5675229955229956,567.5229955229955,pulse,20Hz
18,0.0005632116424116425,0.5632116424116426,563.2116424116425,pulse,20Hz
19,0.0005666288770053476,0.5666288770053476,566.6288770053476,pulse,20Hz
20,0.0005725365701836287,0.5725365701836287,572.5365701836288,pulse,20Hz
