Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0005373855799373044,0.5373855799373044,537.3855799373043,puse,1Hz,20250320_215331,Valid
2,0.0005379767441860468,0.5379767441860468,537.9767441860467,puse,1Hz,20250320_215331,Valid
3,0.0005329147727272723,0.5329147727272723,532.9147727272723,puse,1Hz,20250320_215331,Valid
4,0.0005420175923598898,0.5420175923598898,542.0175923598898,puse,1Hz,20250320_215331,Valid
5,0.0005352813593203397,0.5352813593203397,535.2813593203397,puse,1Hz,20250320_215331,Valid
6,0.0005354074074074073,0.5354074074074073,535.4074074074073,puse,1Hz,20250320_215331,Valid
7,0.0005385951933124351,0.5385951933124351,538.5951933124351,puse,1Hz,20250320_215331,Valid
8,0.0005310447761194025,0.5310447761194025,531.0447761194025,puse,1Hz,20250320_215331,Valid
9,0.0005310618921308571,0.5310618921308571,531.0618921308571,puse,1Hz,20250320_215331,Valid
10,0.0005419055829228247,0.5419055829228246,541.9055829228247,puse,1Hz,20250320_215331,Valid
