Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0007505766233766258,0.7505766233766258,750.5766233766258,pulse2,1Hz,20250325_215440,Valid
2,0.0007149128205128192,0.7149128205128192,714.9128205128192,pulse2,1Hz,20250325_215440,Valid
3,0.0007392140350877202,0.7392140350877202,739.2140350877203,pulse2,1Hz,20250325_215440,Valid
4,0.0007714018018018026,0.7714018018018026,771.4018018018025,pulse2,1Hz,20250325_215440,Valid
5,0.0007479688311688333,0.7479688311688333,747.9688311688333,pulse2,1Hz,20250325_215440,Valid
6,0.0007743578947368427,0.7743578947368427,774.3578947368427,pulse2,1Hz,20250325_215440,Valid
7,0.0007468912280701774,0.7468912280701774,746.8912280701774,pulse2,1Hz,20250325_215440,Valid
8,0.0007423688311688325,0.7423688311688326,742.3688311688326,pulse2,1Hz,20250325_215440,Valid
9,0.0007493473684210549,0.7493473684210549,749.3473684210549,pulse2,1Hz,20250325_215440,Valid
10,0.0007577766233766253,0.7577766233766253,757.7766233766254,pulse2,1Hz,20250325_215440,Valid
11,0.0007577766233766253,0.7577766233766253,757.7766233766254,pulse2,1Hz,20250325_215440,Valid
12,0.0007345766233766237,0.7345766233766237,734.5766233766236,pulse2,1Hz,20250325_215440,Valid
13,0.0007815578947368421,0.7815578947368421,781.5578947368422,pulse2,1Hz,20250325_215440,Valid
14,0.0007501021645021669,0.7501021645021668,750.1021645021668,pulse2,1Hz,20250325_215440,Valid
15,0.0007655578947368434,0.7655578947368433,765.5578947368433,pulse2,1Hz,20250325_215440,Valid
16,0.0007561766233766255,0.7561766233766255,756.1766233766255,pulse2,1Hz,20250325_215440,Valid
17,0.00073976103896104,0.7397610389610401,739.7610389610401,pulse2,1Hz,20250325_215440,Valid
18,0.0007577684210526335,0.7577684210526335,757.7684210526336,pulse2,1Hz,20250325_215440,Valid
19,0.0007364432900432906,0.7364432900432907,736.4432900432906,pulse2,1Hz,20250325_215440,Valid
20,0.0007401684210526327,0.7401684210526327,740.1684210526327,pulse2,1Hz,20250325_215440,Valid
21,0.0007466943722943743,0.7466943722943743,746.6943722943743,pulse2,1Hz,20250325_215440,Valid
22,0.0007607578947368438,0.7607578947368437,760.7578947368438,pulse2,1Hz,20250325_215440,Valid
23,0.0007665766233766247,0.7665766233766247,766.5766233766246,pulse2,1Hz,20250325_215440,Valid
24,0.0007605610389610406,0.7605610389610407,760.5610389610406,pulse2,1Hz,20250325_215440,Valid
25,0.0007639578947368435,0.7639578947368435,763.9578947368435,pulse2,1Hz,20250325_215440,Valid
26,0.0007364432900432906,0.7364432900432907,736.4432900432906,pulse2,1Hz,20250325_215440,Valid
27,0.000760533333333335,0.760533333333335,760.533333333335,pulse2,1Hz,20250325_215440,Valid
28,0.0007743578947368427,0.7743578947368427,774.3578947368427,pulse2,1Hz,20250325_215440,Valid
29,0.0007561766233766255,0.7561766233766255,756.1766233766255,pulse2,1Hz,20250325_215440,Valid
30,0.0007394245614035098,0.7394245614035098,739.4245614035098,pulse2,1Hz,20250325_215440,Valid
31,0.0007397333333333344,0.7397333333333344,739.7333333333344,pulse2,1Hz,20250325_215440,Valid
32,0.0007469021645021665,0.7469021645021665,746.9021645021664,pulse2,1Hz,20250325_215440,Valid
33,0.0007682245614035098,0.7682245614035098,768.2245614035098,pulse2,1Hz,20250325_215440,Valid
34,0.0007424166233766247,0.7424166233766247,742.4166233766247,pulse2,1Hz,20250325_215440,Valid
35,0.000784213333333333,0.784213333333333,784.213333333333,pulse2,1Hz,20250325_215440,Valid
36,0.0007495578947368444,0.7495578947368444,749.5578947368443,pulse2,1Hz,20250325_215440,Valid
37,0.0007362245614035094,0.7362245614035093,736.2245614035094,pulse2,1Hz,20250325_215440,Valid
38,0.0007605473684210543,0.7605473684210543,760.5473684210543,pulse2,1Hz,20250325_215440,Valid
39,0.0007319794871794872,0.7319794871794872,731.9794871794871,pulse2,1Hz,20250325_215440,Valid
40,0.0007503099567099591,0.750309956709959,750.3099567099591,pulse2,1Hz,20250325_215440,Valid
41,0.0007469128205128225,0.7469128205128225,746.9128205128225,pulse2,1Hz,20250325_215440,Valid
42,0.0007712000000000007,0.7712000000000008,771.2000000000007,pulse2,1Hz,20250325_215440,Valid
43,0.0007813473684210526,0.7813473684210526,781.3473684210526,pulse2,1Hz,20250325_215440,Valid
44,0.0007561766233766255,0.7561766233766255,756.1766233766255,pulse2,1Hz,20250325_215440,Valid
45,0.0007609766233766251,0.7609766233766251,760.9766233766251,pulse2,1Hz,20250325_215440,Valid
