Time,CH1,CH2
-0.032,0.0,0.04
-0.031968,-0.04,0.0
-0.031936,0.0,0.06
-0.031904,0.0,0.06
-0.031872,-0.04,0.02
-0.03184,0.0,0.06
-0.031808,0.0,0.04
-0.031776,-0.04,0.04
-0.031744,0.0,0.08
-0.031712000000000004,-0.04,0.04
-0.03168,0.0,0.02
-0.031648,0.0,0.06
-0.031616,0.0,0.06
-0.031584,-0.04,0.02
-0.031552000000000004,0.0,0.04
-0.03152,0.0,0.06
-0.031488,0.0,0.02
-0.031456,0.0,0.06
-0.031424,0.0,0.04
-0.031392,-0.04,0.04
-0.03136,0.0,0.06
-0.031328,0.0,0.1
-0.031296,0.0,0.02
-0.031264,0.0,0.04
-0.031232,0.0,0.06
-0.031200000000000002,0.0,0.02
-0.031168,0.0,0.06
-0.031136,0.0,0.02
-0.031104,0.0,0.0
-0.031072000000000002,-0.04,0.06
-0.03104,0.0,0.06
-0.031008,-0.04,0.0
-0.030976,0.04,0.04
-0.030944,0.0,0.06
-0.030912000000000002,0.0,0.04
-0.03088,-0.04,0.02
-0.030848,0.0,0.02
-0.030816,-0.04,0.04
-0.030784000000000002,-0.04,0.04
-0.030752,-0.04,0.06
-0.03072,0.0,0.02
-0.030688,0.0,0.04
-0.030656,0.0,0.06
-0.030624000000000002,-0.04,0.02
-0.030592,-0.04,0.02
-0.03056,0.0,0.06
-0.030528,0.0,0.04
-0.030496000000000002,0.0,0.04
-0.030464,0.0,0.04
-0.030432,0.0,0.0
-0.0304,0.0,0.06
-0.030368,-0.04,0.06
-0.030336000000000002,0.0,0.02
-0.030304,0.0,0.0
-0.030272,-0.04,0.06
-0.03024,0.0,0.04
-0.030208000000000002,-0.04,0.02
-0.030176,0.0,0.02
-0.030144,0.0,0.02
-0.030112,0.0,0.04
-0.030080000000000003,0.0,0.04
-0.030048000000000002,0.0,0.0
-0.030016,0.0,0.0
-0.029984,0.0,0.04
-0.029952,0.0,0.04
-0.029920000000000002,0.0,0.02
-0.029888,0.0,0.02
-0.029856,0.0,0.0
-0.029824,-0.04,0.04
-0.029792,-0.04,0.04
-0.02976,0.0,0.02
-0.029728,0.04,0.02
-0.029696,0.0,0.08
-0.029664,0.0,0.04
-0.029632000000000002,0.0,0.04
-0.0296,0.0,0.02
-0.029568,0.0,0.02
-0.029536,-0.04,0.02
-0.029504000000000002,-0.04,0.04
-0.029472,0.0,0.04
-0.02944,0.0,0.02
-0.029408,0.0,0.08
-0.029376,0.0,0.02
-0.029344000000000002,0.0,0.02
-0.029312,0.0,0.04
-0.02928,0.0,0.04
-0.029248,0.04,0.02
-0.029216,0.0,0.04
-0.029184,-0.04,0.04
-0.029152,0.0,0.04
-0.02912,0.0,0.06
-0.029088000000000003,0.0,0.02
-0.029056000000000002,0.0,0.04
-0.029024,0.0,0.06
-0.028992,0.0,0.06
-0.02896,0.0,0.02
-0.028928000000000002,0.0,0.04
-0.028896,0.0,0.04
-0.028864,0.0,0.04
-0.028832,0.0,0.06
-0.0288,-0.04,0.02
-0.028768000000000002,0.0,0.0
-0.028736,0.0,0.06
-0.028704,0.0,0.08
-0.028672,0.0,0.02
-0.028640000000000002,0.0,0.04
-0.028608,0.0,0.04
-0.028576,0.0,0.02
-0.028544,-0.04,0.08
-0.028512000000000003,-0.04,0.04
-0.028480000000000002,0.0,0.02
-0.028448,0.0,0.06
-0.028416,0.0,0.06
-0.028384,0.0,0.0
-0.028352000000000002,0.0,0.06
-0.02832,0.0,0.06
-0.028288,0.0,0.02
-0.028256,-0.04,0.06
-0.028224,0.0,0.04
-0.028192000000000002,0.0,0.04
-0.02816,0.0,0.04
-0.028128,-0.04,0.06
-0.028096,0.0,0.0
-0.028064000000000002,-0.04,0.04
-0.028032,0.0,0.06
-0.028,0.0,0.02
-0.027968,0.0,0.0
-0.027936000000000002,0.0,0.04
-0.027904,0.0,0.04
-0.027872,0.0,0.04
-0.02784,0.0,0.06
-0.027808,-0.04,0.0
-0.027776000000000002,0.0,0.02
-0.027744,0.0,0.06
-0.027712,0.0,0.02
-0.02768,-0.04,0.02
-0.027648,0.0,0.06
-0.027616,0.0,0.02
-0.027584,0.0,0.02
-0.027552,0.0,0.04
-0.027520000000000003,0.0,0.02
-0.027488000000000002,0.0,0.02
-0.027456,0.0,0.06
-0.027424,0.0,0.04
-0.027392,-0.04,0.0
-0.027360000000000002,0.0,0.06
-0.027328,0.0,0.04
-0.027296,0.0,0.02
-0.027264,-0.04,0.02
-0.027232,-0.04,0.02
-0.027200000000000002,0.0,0.04
-0.027168,0.0,0.04
-0.027136,0.0,0.02
-0.027104,0.0,0.0
-0.027072,0.0,0.04
-0.02704,0.0,0.04
-0.027008,0.0,0.02
-0.026976,0.0,0.02
-0.026944000000000003,-0.04,0.02
-0.026912000000000002,0.0,0.02
-0.02688,0.0,0.04
-0.026848,-0.04,0.02
-0.026816,0.0,0.04
-0.026784000000000002,0.0,0.08
-0.026752,-0.04,0.04
-0.02672,0.0,0.04
-0.026688,-0.04,0.04
-0.026656,0.0,0.04
-0.026624000000000002,0.0,0.02
-0.026592,0.0,0.04
-0.02656,-0.04,0.02
-0.026528000000000003,0.0,0.02
-0.026496000000000002,0.0,0.08
-0.026464,0.0,0.02
-0.026432,0.0,0.02
-0.0264,-0.04,0.06
-0.026368000000000003,-0.04,0.06
-0.026336000000000002,0.0,0.02
-0.026304,0.0,0.04
-0.026272,0.0,0.06
-0.02624,0.0,0.02
-0.026208000000000002,0.0,0.06
-0.026176,0.0,0.04
-0.026144,0.0,0.02
-0.026112,0.0,0.06
-0.02608,0.0,0.06
-0.026048,0.0,0.02
-0.026016,0.0,0.06
-0.025984,0.0,0.04
-0.025952000000000003,0.0,0.04
-0.025920000000000002,0.0,0.06
-0.025888,0.0,0.04
-0.025856,-0.04,0.02
-0.025824,-0.04,0.06
-0.025792000000000002,-0.04,0.08
-0.02576,0.0,0.02
-0.025728,0.0,0.04
-0.025696,0.0,0.04
-0.025664,0.0,0.04
-0.025632000000000002,0.0,0.04
-0.0256,0.0,0.04
-0.025568,0.0,0.02
-0.025536,0.0,0.04
-0.025504,-0.04,0.06
-0.025472,0.0,0.0
-0.02544,-0.04,0.06
-0.025408,-0.04,0.04
-0.025376000000000003,0.0,0.04
-0.025344000000000002,0.0,0.02
-0.025312,0.0,0.04
-0.02528,-0.04,0.04
-0.025248,0.0,0.04
-0.025216000000000002,0.0,0.04
-0.025184,0.0,0.0
-0.025152,0.0,0.04
-0.02512,0.0,0.04
-0.025088,-0.04,0.02
-0.025056000000000002,-0.04,0.0
-0.025024,0.0,0.04
-0.024992,0.0,0.02
-0.024960000000000003,0.0,0.04
-0.024928000000000002,0.0,0.04
-0.024896,0.0,0.0
-0.024864,0.0,0.02
-0.024832,0.0,0.04
-0.024800000000000003,0.0,0.02
-0.024768000000000002,0.0,0.0
-0.024736,0.0,0.04
-0.024704,0.0,0.02
-0.024672,0.0,0.02
-0.024640000000000002,-0.04,0.04
-0.024608,-0.04,0.0
-0.024576,-0.04,0.04
-0.024544,-0.04,0.06
-0.024512,0.0,0.02
-0.024480000000000002,0.0,0.0
-0.024448,-0.04,0.04
-0.024416,-0.04,0.04
-0.024384000000000003,0.0,0.02
-0.024352000000000002,0.0,0.04
-0.02432,0.0,0.0
-0.024288,0.0,0.04
-0.024256,0.0,0.04
-0.024224000000000002,0.0,0.04
-0.024192,0.0,0.02
-0.02416,0.0,0.06
-0.024128000000000004,0.0,0.02
-0.024096,-0.04,0.0
-0.024064000000000002,0.0,0.04
-0.024032,0.0,0.02
-0.024,0.0,0.02
-0.023968000000000003,0.0,0.04
-0.023936,0.0,0.02
-0.023904,0.04,0.02
-0.023872,0.0,0.06
-0.02384,-0.04,0.02
-0.023808000000000003,0.0,0.04
-0.023776,0.0,0.04
-0.023744,0.0,0.04
-0.023712,0.0,0.02
-0.02368,-0.04,0.06
-0.023648000000000002,0.04,0.04
-0.023616,0.0,0.04
-0.023584,0.0,0.08
-0.023552000000000003,0.0,0.04
-0.02352,0.0,0.02
-0.023488000000000002,0.0,0.06
-0.023456,0.0,0.06
-0.023424,0.0,0.02
-0.023392000000000003,0.0,0.04
-0.02336,0.0,0.02
-0.023328,-0.04,0.04
-0.023296,0.0,0.06
-0.023264,0.0,0.04
-0.023232000000000003,0.04,0.04
-0.023200000000000002,0.0,0.06
-0.023168,0.0,0.08
-0.023136,0.0,0.0
-0.023104,0.0,0.02
-0.023072000000000002,0.0,0.04
-0.02304,0.0,0.04
-0.023008,-0.04,0.04
-0.022976000000000003,0.0,0.02
-0.022944,0.0,0.04
-0.022912000000000002,0.04,0.04
-0.02288,0.0,0.06
-0.022848,0.0,0.02
-0.022816000000000003,0.0,0.04
-0.022784,0.0,0.06
-0.022752,-0.04,0.02
-0.02272,0.0,0.04
-0.022688,0.0,0.04
-0.022656000000000003,0.0,0.04
-0.022624000000000002,0.0,0.04
-0.022592,0.0,0.06
-0.022560000000000004,0.0,0.02
-0.022528,0.0,0.04
-0.022496000000000002,0.0,0.06
-0.022464,-0.04,0.02
