Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.0007119490445859872,0.7119490445859872,711.9490445859872,pulse,1Hz,20250320_030447
2,0.000690674358974359,0.690674358974359,690.6743589743589,pulse,1Hz,20250320_030447
3,0.0006991483870967735,0.6991483870967735,699.1483870967735,pulse,1Hz,20250320_030447
4,0.0006939743589743587,0.6939743589743587,693.9743589743587,pulse,1Hz,20250320_030447
5,0.0007039999999999998,0.7039999999999997,703.9999999999998,pulse,1Hz,20250320_030447
6,0.0007077230769230772,0.7077230769230772,707.7230769230772,pulse,1Hz,20250320_030447
7,0.000705974358974359,0.705974358974359,705.974358974359,pulse,1Hz,20250320_030447
8,0.0007116,0.7115999999999999,711.5999999999999,pulse,1Hz,20250320_030447
9,0.0006961999999999996,0.6961999999999996,696.1999999999996,pulse,1Hz,20250320_030447
10,0.0006975230769230763,0.6975230769230764,697.5230769230764,pulse,1Hz,20250320_030447
