Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0009100847058823534,0.9100847058823534,910.0847058823533,pulse,1Hz,20250325_192724,Valid
2,0.0008926180392156862,0.8926180392156863,892.6180392156863,pulse,1Hz,20250325_192724,Valid
3,0.0008895247058823528,0.8895247058823529,889.5247058823528,pulse,1Hz,20250325_192724,Valid
4,0.0009135247058823534,0.9135247058823535,913.5247058823534,pulse,1Hz,20250325_192724,Valid
5,0.0008652847058823531,0.8652847058823532,865.2847058823531,pulse,1Hz,20250325_192724,Valid
6,0.0009417647058823532,0.9417647058823532,941.7647058823532,pulse,1Hz,20250325_192724,Valid
7,0.0008772937278106514,0.8772937278106514,877.2937278106514,pulse,1Hz,20250325_192724,Valid
8,0.0009226447058823528,0.9226447058823528,922.6447058823528,pulse,1Hz,20250325_192724,Valid
9,0.0008779505029239772,0.8779505029239771,877.9505029239772,pulse,1Hz,20250325_192724,Valid
10,0.0008959435294117648,0.8959435294117648,895.9435294117649,pulse,1Hz,20250325_192724,Valid
11,0.0009055247058823532,0.9055247058823532,905.5247058823533,pulse,1Hz,20250325_192724,Valid
12,0.0009124580392156867,0.9124580392156867,912.4580392156867,pulse,1Hz,20250325_192724,Valid
13,0.0009149203944773177,0.9149203944773178,914.9203944773177,pulse,1Hz,20250325_192724,Valid
14,0.0009205745029239764,0.9205745029239764,920.5745029239764,pulse,1Hz,20250325_192724,Valid
15,0.0008330101960784317,0.8330101960784317,833.0101960784317,pulse,1Hz,20250325_192724,Valid
16,0.0009265745029239765,0.9265745029239766,926.5745029239765,pulse,1Hz,20250325_192724,Valid
17,0.0009194635294117646,0.9194635294117646,919.4635294117645,pulse,1Hz,20250325_192724,Valid
18,0.0009125651461988309,0.9125651461988309,912.5651461988309,pulse,1Hz,20250325_192724,Valid
19,0.0008839017278106507,0.8839017278106507,883.9017278106508,pulse,1Hz,20250325_192724,Valid
20,0.0009148145029239768,0.9148145029239768,914.8145029239768,pulse,1Hz,20250325_192724,Valid
21,0.0008778357894736848,0.8778357894736848,877.8357894736847,pulse,1Hz,20250325_192724,Valid
22,0.0008900580392156861,0.8900580392156862,890.0580392156861,pulse,1Hz,20250325_192724,Valid
23,0.0009002545029239768,0.9002545029239768,900.2545029239768,pulse,1Hz,20250325_192724,Valid
24,0.000862004705882353,0.862004705882353,862.0047058823529,pulse,1Hz,20250325_192724,Valid
25,0.000896884705882353,0.896884705882353,896.884705882353,pulse,1Hz,20250325_192724,Valid
26,0.0009244047058823528,0.9244047058823528,924.4047058823528,pulse,1Hz,20250325_192724,Valid
27,0.0008808838095238094,0.8808838095238094,880.8838095238094,pulse,1Hz,20250325_192724,Valid
28,0.0008652945029239768,0.8652945029239768,865.2945029239769,pulse,1Hz,20250325_192724,Valid
29,0.0008874635294117647,0.8874635294117647,887.4635294117646,pulse,1Hz,20250325_192724,Valid
30,0.0008680737724550899,0.86807377245509,868.07377245509,pulse,1Hz,20250325_192724,Valid
31,0.0008990705029239767,0.8990705029239767,899.0705029239767,pulse,1Hz,20250325_192724,Valid
32,0.0009044945029239769,0.9044945029239769,904.4945029239769,pulse,1Hz,20250325_192724,Valid
33,0.0009125547928994088,0.9125547928994088,912.5547928994088,pulse,1Hz,20250325_192724,Valid
34,0.0008589417278106509,0.8589417278106509,858.941727810651,pulse,1Hz,20250325_192724,Valid
35,0.0008840945029239764,0.8840945029239764,884.0945029239764,pulse,1Hz,20250325_192724,Valid
36,0.0009064937278106512,0.9064937278106512,906.4937278106512,pulse,1Hz,20250325_192724,Valid
37,0.0009212038095238093,0.9212038095238093,921.2038095238094,pulse,1Hz,20250325_192724,Valid
38,0.0008780937278106514,0.8780937278106514,878.0937278106514,pulse,1Hz,20250325_192724,Valid
39,0.0009061745029239769,0.9061745029239769,906.1745029239769,pulse,1Hz,20250325_192724,Valid
40,0.0009125647058823534,0.9125647058823534,912.5647058823533,pulse,1Hz,20250325_192724,Valid
41,0.0008766180392156867,0.8766180392156867,876.6180392156867,pulse,1Hz,20250325_192724,Valid
42,0.0008684047058823531,0.8684047058823532,868.4047058823531,pulse,1Hz,20250325_192724,Valid
43,0.0009000847058823531,0.9000847058823531,900.0847058823531,pulse,1Hz,20250325_192724,Valid
44,0.0008970635294117649,0.8970635294117649,897.0635294117649,pulse,1Hz,20250325_192724,Valid
45,0.0008492847058823527,0.8492847058823527,849.2847058823528,pulse,1Hz,20250325_192724,Valid
46,0.0008705815126050424,0.8705815126050425,870.5815126050425,pulse,1Hz,20250325_192724,Valid
47,0.0008743870611439846,0.8743870611439847,874.3870611439846,pulse,1Hz,20250325_192724,Valid
48,0.000896884705882353,0.896884705882353,896.884705882353,pulse,1Hz,20250325_192724,Valid
49,0.000910974502923977,0.9109745029239771,910.9745029239771,pulse,1Hz,20250325_192724,Valid
