Time,CH1,CH2
-0.0032,-1.78,-0.04
-0.0031968,-1.78,0.0
-0.0031936,-1.78,0.0
-0.0031904000000000004,-1.78,0.0
-0.0031872000000000003,-1.76,0.016
-0.003184,-1.78,0.008
-0.0031808,-1.78,0.008
-0.0031776,-1.76,0.0
-0.0031744,-1.76,0.016
-0.0031712000000000003,-1.78,0.0
-0.0031680000000000002,-1.78,0.0
-0.0031648,-1.8,0.0
-0.0031616,-1.78,0.024
-0.0031584,-1.78,0.008
-0.0031552000000000004,-1.76,0.032
-0.0031520000000000003,-1.78,0.0
-0.0031488,-1.8,0.0
-0.0031456,-1.78,0.0
-0.0031424,-1.78,0.0
-0.0031392,-1.78,0.024
-0.0031360000000000003,-1.78,0.008
-0.0031328000000000003,-1.76,0.024
-0.0031296,-1.76,0.0
-0.0031264,-1.78,-0.016
-0.0031232,-1.78,0.0
-0.0031200000000000004,-1.78,-0.008
-0.0031168000000000003,-1.78,0.016
-0.0031136000000000002,-1.78,0.0
-0.0031104,-1.78,0.016
-0.0031072,-1.78,0.0
-0.003104,-1.78,0.008
-0.0031008000000000003,-1.8,0.0
-0.0030976000000000003,-1.78,-0.008
-0.0030944,-1.8,-0.008
-0.0030912,-1.78,0.008
-0.003088,-1.76,0.008
-0.0030848,-1.8,-0.008
-0.0030816000000000003,-1.78,0.0
-0.0030784000000000002,-1.8,-0.032
-0.0030752,-1.78,0.008
-0.003072,-1.78,-0.024
-0.0030688,-1.8,0.0
-0.0030656000000000004,-1.78,0.008
-0.0030624000000000003,-1.78,0.0
-0.0030592,-1.76,0.008
-0.003056,-1.8,-0.032
-0.0030528,-1.78,0.008
-0.0030496,-1.76,-0.016
-0.0030464000000000003,-1.78,-0.008
-0.0030432000000000002,-1.76,0.008
-0.00304,-1.78,0.0
-0.0030368,-1.78,0.0
-0.0030336,-1.78,-0.008
-0.0030304,-1.78,0.0
-0.0030272000000000003,-1.78,0.0
-0.003024,-1.78,0.008
-0.0030208,-1.78,0.0
-0.0030176,-1.78,0.016
-0.0030144,-1.78,-0.008
-0.0030112000000000003,-1.76,0.024
-0.0030080000000000003,-1.76,-0.008
-0.0030048,-1.8,0.0
-0.0030016,-1.8,-0.008
-0.0029984,-1.78,0.0
-0.0029952,-1.76,0.032
-0.0029920000000000003,-1.8,0.0
-0.0029888000000000002,-1.8,0.04
-0.0029856,-1.76,0.008
-0.0029824,-1.76,0.0
-0.0029792,-1.78,0.0
-0.0029760000000000003,-1.78,0.0
-0.0029728000000000003,-1.78,0.04
-0.0029696,-1.8,0.016
-0.0029664,-1.78,0.016
-0.0029632,-1.78,0.008
-0.00296,-1.78,0.008
-0.0029568000000000003,-1.78,0.0
-0.0029536000000000002,-1.78,-0.008
-0.0029504,-1.78,-0.008
-0.0029472,-1.78,0.008
-0.002944,-1.76,0.008
-0.0029408000000000004,-1.78,-0.008
-0.0029376000000000003,-1.78,0.0
-0.0029344,-1.78,-0.024
-0.0029312,-1.76,0.008
-0.002928,-1.76,-0.016
-0.0029248,-1.78,-0.008
-0.0029216000000000003,-1.76,-0.008
-0.0029184000000000002,-1.78,0.0
-0.0029152,-1.76,0.0
-0.002912,-1.78,-0.024
-0.0029088,-1.78,0.0
-0.0029056000000000004,-1.78,-0.008
-0.0029024000000000003,-1.78,0.016
-0.0028992,-1.76,0.016
-0.002896,-1.78,0.0
-0.0028928,-1.78,0.0
-0.0028896,-1.76,-0.016
-0.0028864000000000003,-1.78,-0.008
-0.0028832000000000003,-1.8,-0.016
-0.00288,-1.78,-0.008
-0.0028768,-1.78,0.0
-0.0028736,-1.78,0.024
-0.0028704000000000004,-1.78,0.0
-0.0028672000000000003,-1.76,0.024
-0.0028640000000000002,-1.76,0.0
-0.0028608,-1.8,-0.008
-0.0028576,-1.78,0.0
-0.0028544,-1.78,0.0
-0.0028512000000000003,-1.76,0.024
-0.0028480000000000003,-1.8,-0.008
-0.0028448,-1.78,0.032
-0.0028416,-1.78,0.0
-0.0028384,-1.78,0.0
-0.0028352000000000004,-1.78,0.008
-0.0028320000000000003,-1.8,-0.008
-0.0028288000000000002,-1.78,0.016
-0.0028256,-1.78,0.008
-0.0028224,-1.78,0.016
-0.0028192,-1.8,0.008
-0.002816,-1.78,0.0
-0.0028128000000000003,-1.78,0.0
-0.0028096,-1.78,-0.008
-0.0028064,-1.78,0.0
-0.0028032,-1.78,0.0
-0.0028000000000000004,-1.76,0.008
-0.0027968000000000003,-1.78,0.016
-0.0027936000000000002,-1.78,0.0
-0.0027904,-1.8,-0.016
-0.0027872,-1.8,0.008
-0.002784,-1.78,-0.024
-0.0027808,-1.76,0.0
-0.0027776000000000003,-1.76,0.008
-0.0027744,-1.78,0.008
-0.0027712,-1.78,0.0
-0.002768,-1.78,-0.032
-0.0027648000000000004,-1.78,0.008
-0.0027616000000000003,-1.78,-0.024
-0.0027584000000000003,-1.78,0.0
-0.0027552,-1.78,0.008
-0.002752,-1.78,0.0
-0.0027488,-1.78,0.008
-0.0027456,-1.78,-0.008
-0.0027424000000000003,-1.78,-0.008
-0.0027392000000000002,-1.8,0.0
-0.002736,-1.78,-0.008
-0.0027328,-1.8,0.008
-0.0027296,-1.76,0.016
-0.0027264000000000004,-1.78,0.0
-0.0027232000000000003,-1.78,0.024
-0.00272,-1.78,0.0
-0.0027168,-1.78,-0.008
-0.0027136,-1.78,-0.008
-0.0027104,-1.78,0.0
-0.0027072000000000003,-1.76,0.048
-0.0027040000000000002,-1.76,0.008
-0.0027008,-1.78,0.04
-0.0026976,-1.76,0.008
-0.0026944000000000004,-1.76,-0.008
-0.0026912000000000004,-1.8,0.0
-0.0026880000000000003,-1.78,-0.008
-0.0026848,-1.78,0.024
-0.0026816,-1.8,0.008
-0.0026784,-1.76,0.016
-0.0026752,-1.78,0.016
-0.0026720000000000003,-1.76,0.008
-0.0026688000000000003,-1.78,0.0
-0.0026656,-1.78,0.0
-0.0026624,-1.78,-0.032
-0.0026592,-1.8,0.0
-0.0026560000000000004,-1.76,0.008
-0.0026528000000000003,-1.78,0.0
-0.0026496000000000002,-1.78,0.016
-0.0026464,-1.78,-0.016
-0.0026432,-1.78,0.016
-0.00264,-1.78,-0.016
-0.0026368,-1.78,0.008
-0.0026336000000000003,-1.76,0.016
-0.0026304,-1.78,0.0
-0.0026272,-1.78,0.016
-0.002624,-1.78,-0.032
-0.0026208000000000004,-1.78,0.0
-0.0026176000000000003,-1.78,-0.024
-0.0026144000000000002,-1.78,0.0
-0.0026112,-1.78,0.008
-0.002608,-1.78,0.0
-0.0026048,-1.78,0.016
