Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency
1,0.0007386979166666661,0.7386979166666662,738.6979166666662,pulse,20Hz
2,0.0007220944881889768,0.7220944881889768,722.0944881889768,pulse,20Hz
3,0.0007300629921259844,0.7300629921259845,730.0629921259845,pulse,20Hz
4,0.0007480629921259846,0.7480629921259846,748.0629921259846,pulse,20Hz
5,0.0007360952380952377,0.7360952380952377,736.0952380952377,pulse,20Hz
6,0.0007280312500000004,0.7280312500000004,728.0312500000003,pulse,20Hz
7,0.0007227296587926508,0.7227296587926508,722.7296587926509,pulse,20Hz
8,0.00073203125,0.73203125,732.03125,pulse,20Hz
9,0.0007400312499999994,0.7400312499999994,740.0312499999993,pulse,20Hz
10,0.0007360629921259839,0.7360629921259839,736.0629921259839,pulse,20Hz
11,0.0007480312500000004,0.7480312500000005,748.0312500000005,pulse,20Hz
12,0.0007411485148514846,0.7411485148514847,741.1485148514846,pulse,20Hz
13,0.0007340629921259841,0.734062992125984,734.0629921259841,pulse,20Hz
14,0.0007507296587926511,0.7507296587926511,750.7296587926511,pulse,20Hz
15,0.0007220629921259847,0.7220629921259847,722.0629921259847,pulse,20Hz
16,0.0007480629921259846,0.7480629921259846,748.0629921259846,pulse,20Hz
17,0.0007200629921259844,0.7200629921259843,720.0629921259844,pulse,20Hz
18,0.0007360629921259839,0.7360629921259839,736.0629921259839,pulse,20Hz
19,0.0007360629921259839,0.7360629921259839,736.0629921259839,pulse,20Hz
20,0.0007374583333333329,0.7374583333333329,737.4583333333329,pulse,20Hz
