Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0007799069767441854,0.7799069767441854,779.9069767441855,puse,1Hz,20250320_214626,Valid
2,0.0007878620689655177,0.7878620689655177,787.8620689655177,puse,1Hz,20250320_214626,Valid
3,0.0007958588235294115,0.7958588235294115,795.8588235294116,puse,1Hz,20250320_214626,Valid
4,0.0007798139534883716,0.7798139534883716,779.8139534883716,puse,1Hz,20250320_214626,Valid
5,0.0007798139534883716,0.7798139534883716,779.8139534883716,puse,1Hz,20250320_214626,Valid
6,0.0007878095238095243,0.7878095238095243,787.8095238095243,puse,1Hz,20250320_214626,Valid
7,0.0007719069767441861,0.7719069767441861,771.9069767441861,puse,1Hz,20250320_214626,Valid
8,0.0008039069767441852,0.8039069767441852,803.9069767441852,puse,1Hz,20250320_214626,Valid
9,0.000787952941176471,0.7879529411764711,787.9529411764711,puse,1Hz,20250320_214626,Valid
10,0.0007879069767441865,0.7879069767441865,787.9069767441865,puse,1Hz,20250320_214626,Valid
