Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.0005233231961836615,0.5233231961836614,523.3231961836615,pulse,1Hz,20250320_031423
2,0.0005257219317898929,0.5257219317898929,525.7219317898929,pulse,1Hz,20250320_031423
3,0.0005196862091938713,0.5196862091938713,519.6862091938713,pulse,1Hz,20250320_031423
4,0.0005243090445859873,0.5243090445859873,524.3090445859873,pulse,1Hz,20250320_031423
5,0.0005348327655162196,0.5348327655162196,534.8327655162196,pulse,1Hz,20250320_031423
6,0.000516814189717144,0.516814189717144,516.814189717144,pulse,1Hz,20250320_031423
7,0.00051848070764069,0.51848070764069,518.48070764069,pulse,1Hz,20250320_031423
8,0.0005170096530920067,0.5170096530920067,517.0096530920067,pulse,1Hz,20250320_031423
9,0.0005197781743308173,0.5197781743308173,519.7781743308173,pulse,1Hz,20250320_031423
10,0.0005210232558139539,0.5210232558139539,521.0232558139539,pulse,1Hz,20250320_031423
