Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0005136861805317819,0.5136861805317818,513.6861805317818,pulse,1Hz,20250325_211216,Valid
2,0.0005147296587926515,0.5147296587926515,514.7296587926515,pulse,1Hz,20250325_211216,Valid
3,0.0005100704656862745,0.5100704656862746,510.07046568627453,pulse,1Hz,20250325_211216,Valid
4,0.0005116548288606784,0.5116548288606784,511.6548288606784,pulse,1Hz,20250325_211216,Valid
5,0.0005112812500000002,0.5112812500000002,511.2812500000002,pulse,1Hz,20250325_211216,Valid
6,0.0005136676136363641,0.5136676136363642,513.6676136363642,pulse,1Hz,20250325_211216,Valid
7,0.0005128550713339055,0.5128550713339055,512.8550713339055,pulse,1Hz,20250325_211216,Valid
8,0.0005106470629224445,0.5106470629224446,510.64706292244455,pulse,1Hz,20250325_211216,Valid
9,0.0005089786547765866,0.5089786547765865,508.97865477658655,pulse,1Hz,20250325_211216,Valid
10,0.0005110959591589514,0.5110959591589515,511.0959591589514,pulse,1Hz,20250325_211216,Valid
11,0.0005097651197855587,0.5097651197855587,509.7651197855587,pulse,1Hz,20250325_211216,Valid
12,0.0005102819047619047,0.5102819047619047,510.28190476190474,pulse,1Hz,20250325_211216,Valid
13,0.000508302992125984,0.508302992125984,508.30299212598396,pulse,1Hz,20250325_211216,Valid
14,0.000504248641304348,0.504248641304348,504.2486413043479,pulse,1Hz,20250325_211216,Valid
15,0.0005105815106445029,0.5105815106445029,510.5815106445029,pulse,1Hz,20250325_211216,Valid
16,0.0005122363782051286,0.5122363782051286,512.2363782051285,pulse,1Hz,20250325_211216,Valid
17,0.000509176035604245,0.509176035604245,509.176035604245,pulse,1Hz,20250325_211216,Valid
18,0.0005092107371794871,0.5092107371794872,509.2107371794871,pulse,1Hz,20250325_211216,Valid
19,0.0005059677540307461,0.5059677540307461,505.9677540307461,pulse,1Hz,20250325_211216,Valid
20,0.0005105175375805298,0.5105175375805299,510.51753758052985,pulse,1Hz,20250325_211216,Valid
21,0.0005073869357879559,0.5073869357879559,507.3869357879559,pulse,1Hz,20250325_211216,Valid
22,0.0005135218156553965,0.5135218156553965,513.5218156553965,pulse,1Hz,20250325_211216,Valid
23,0.0005105917277581682,0.5105917277581682,510.5917277581682,pulse,1Hz,20250325_211216,Valid
24,0.0005083054163684083,0.5083054163684083,508.3054163684083,pulse,1Hz,20250325_211216,Valid
25,0.0005072883928571427,0.5072883928571427,507.2883928571427,pulse,1Hz,20250325_211216,Valid
26,0.0005092557397959183,0.5092557397959183,509.2557397959183,pulse,1Hz,20250325_211216,Valid
27,0.0005103282797029704,0.5103282797029705,510.3282797029704,pulse,1Hz,20250325_211216,Valid
28,0.0005103629921259843,0.5103629921259843,510.3629921259843,pulse,1Hz,20250325_211216,Valid
29,0.0005110728931160834,0.5110728931160834,511.0728931160834,pulse,1Hz,20250325_211216,Valid
30,0.000510979658792651,0.5109796587926511,510.97965879265104,pulse,1Hz,20250325_211216,Valid
31,0.0005076185476815396,0.5076185476815396,507.6185476815396,pulse,1Hz,20250325_211216,Valid
32,0.0005088229921259842,0.5088229921259841,508.8229921259842,pulse,1Hz,20250325_211216,Valid
33,0.00050994577991453,0.50994577991453,509.94577991453,pulse,1Hz,20250325_211216,Valid
34,0.00051142782152231,0.51142782152231,511.42782152231,pulse,1Hz,20250325_211216,Valid
35,0.0005114516594516597,0.5114516594516597,511.45165945165974,pulse,1Hz,20250325_211216,Valid
36,0.0005141741071428572,0.5141741071428573,514.1741071428572,pulse,1Hz,20250325_211216,Valid
37,0.0005096092316513762,0.5096092316513762,509.6092316513762,pulse,1Hz,20250325_211216,Valid
38,0.0005145061969993482,0.5145061969993482,514.5061969993483,pulse,1Hz,20250325_211216,Valid
39,0.000511410818212941,0.511410818212941,511.41081821294097,pulse,1Hz,20250325_211216,Valid
40,0.0005130807895588398,0.5130807895588398,513.0807895588398,pulse,1Hz,20250325_211216,Valid
41,0.000511490714604071,0.511490714604071,511.490714604071,pulse,1Hz,20250325_211216,Valid
42,0.0005054979166666667,0.5054979166666667,505.49791666666664,pulse,1Hz,20250325_211216,Valid
43,0.0005126168382798308,0.5126168382798307,512.6168382798307,pulse,1Hz,20250325_211216,Valid
44,0.0005118628289473687,0.5118628289473687,511.8628289473687,pulse,1Hz,20250325_211216,Valid
45,0.0005094087865185076,0.5094087865185076,509.4087865185076,pulse,1Hz,20250325_211216,Valid
46,0.0005148629921259849,0.514862992125985,514.8629921259849,pulse,1Hz,20250325_211216,Valid
47,0.000511867870174765,0.511867870174765,511.86787017476496,pulse,1Hz,20250325_211216,Valid
48,0.0005110041685965726,0.5110041685965726,511.0041685965726,pulse,1Hz,20250325_211216,Valid
49,0.0005073357193987113,0.5073357193987114,507.3357193987113,pulse,1Hz,20250325_211216,Valid
50,0.0005056230867346938,0.5056230867346938,505.62308673469386,pulse,1Hz,20250325_211216,Valid
51,0.0005085369971264366,0.5085369971264366,508.53699712643663,pulse,1Hz,20250325_211216,Valid
52,0.0005077843364197529,0.5077843364197528,507.7843364197529,pulse,1Hz,20250325_211216,Valid
53,0.0005144963662790705,0.5144963662790705,514.4963662790705,pulse,1Hz,20250325_211216,Valid
54,0.0005106251526251527,0.5106251526251526,510.6251526251527,pulse,1Hz,20250325_211216,Valid
55,0.0005095521153076205,0.5095521153076205,509.55211530762045,pulse,1Hz,20250325_211216,Valid
56,0.0005064392297497465,0.5064392297497465,506.43922974974646,pulse,1Hz,20250325_211216,Valid
57,0.0005098694437388875,0.5098694437388874,509.86944373888747,pulse,1Hz,20250325_211216,Valid
58,0.00050643125,0.50643125,506.43125,pulse,1Hz,20250325_211216,Valid
59,0.0005127390484640127,0.5127390484640126,512.7390484640126,pulse,1Hz,20250325_211216,Valid
60,0.0005092164351851851,0.5092164351851851,509.21643518518516,pulse,1Hz,20250325_211216,Valid
61,0.0005118432119062043,0.5118432119062043,511.84321190620426,pulse,1Hz,20250325_211216,Valid
62,0.0005061142741772662,0.5061142741772662,506.11427417726617,pulse,1Hz,20250325_211216,Valid
63,0.0005109516310461194,0.5109516310461194,510.95163104611936,pulse,1Hz,20250325_211216,Valid
64,0.0005110003221649486,0.5110003221649486,511.00032216494867,pulse,1Hz,20250325_211216,Valid
65,0.0005102717086834734,0.5102717086834734,510.27170868347343,pulse,1Hz,20250325_211216,Valid
66,0.0005114143434773358,0.5114143434773358,511.4143434773358,pulse,1Hz,20250325_211216,Valid
67,0.0005066979166666666,0.5066979166666665,506.6979166666666,pulse,1Hz,20250325_211216,Valid
68,0.0005086512274201017,0.5086512274201017,508.6512274201017,pulse,1Hz,20250325_211216,Valid
69,0.0005100439445069367,0.5100439445069367,510.0439445069367,pulse,1Hz,20250325_211216,Valid
70,0.0005077404114808227,0.5077404114808227,507.74041148082273,pulse,1Hz,20250325_211216,Valid
71,0.000511318921232877,0.5113189212328769,511.31892123287696,pulse,1Hz,20250325_211216,Valid
72,0.000512291563554556,0.512291563554556,512.291563554556,pulse,1Hz,20250325_211216,Valid
73,0.0005103015202702703,0.5103015202702703,510.3015202702703,pulse,1Hz,20250325_211216,Valid
74,0.0005083640673948012,0.5083640673948012,508.36406739480117,pulse,1Hz,20250325_211216,Valid
75,0.0005080738031914892,0.5080738031914892,508.07380319148916,pulse,1Hz,20250325_211216,Valid
76,0.0005103405283505155,0.5103405283505156,510.34052835051557,pulse,1Hz,20250325_211216,Valid
77,0.0005115767045454548,0.5115767045454548,511.5767045454548,pulse,1Hz,20250325_211216,Valid
78,0.0005122110252808993,0.5122110252808992,512.2110252808993,pulse,1Hz,20250325_211216,Valid
79,0.0005089695216049382,0.5089695216049382,508.9695216049382,pulse,1Hz,20250325_211216,Valid
80,0.0005110175375805299,0.5110175375805299,511.0175375805299,pulse,1Hz,20250325_211216,Valid
81,0.0005120312500000003,0.5120312500000004,512.0312500000003,pulse,1Hz,20250325_211216,Valid
82,0.0005093409845132743,0.5093409845132744,509.34098451327435,pulse,1Hz,20250325_211216,Valid
83,0.0005067243193069306,0.5067243193069305,506.72431930693057,pulse,1Hz,20250325_211216,Valid
84,0.0005061885533707864,0.5061885533707865,506.18855337078645,pulse,1Hz,20250325_211216,Valid
85,0.000507484044757563,0.507484044757563,507.48404475756297,pulse,1Hz,20250325_211216,Valid
86,0.0005094113067327258,0.5094113067327258,509.4113067327258,pulse,1Hz,20250325_211216,Valid
87,0.0005094095238095237,0.5094095238095236,509.4095238095237,pulse,1Hz,20250325_211216,Valid
88,0.0005131296587926514,0.5131296587926514,513.1296587926514,pulse,1Hz,20250325_211216,Valid
89,0.0005102007415254238,0.5102007415254238,510.2007415254238,pulse,1Hz,20250325_211216,Valid
90,0.0005116979166666669,0.511697916666667,511.6979166666669,pulse,1Hz,20250325_211216,Valid
91,0.0005119311239941164,0.5119311239941163,511.9311239941164,pulse,1Hz,20250325_211216,Valid
92,0.000508543467780813,0.5085434677808129,508.543467780813,pulse,1Hz,20250325_211216,Valid
93,0.000507973276067764,0.507973276067764,507.973276067764,pulse,1Hz,20250325_211216,Valid
94,0.0005070430147058822,0.5070430147058822,507.04301470588223,pulse,1Hz,20250325_211216,Valid
95,0.0005056202910958904,0.5056202910958904,505.62029109589037,pulse,1Hz,20250325_211216,Valid
96,0.0005077085617462371,0.5077085617462371,507.70856174623714,pulse,1Hz,20250325_211216,Valid
97,0.00050583125,0.50583125,505.83124999999995,pulse,1Hz,20250325_211216,Valid
98,0.0005106518652381568,0.5106518652381569,510.6518652381568,pulse,1Hz,20250325_211216,Valid
99,0.0005140825320512826,0.5140825320512826,514.0825320512826,pulse,1Hz,20250325_211216,Valid
100,0.0005139078215223103,0.5139078215223103,513.9078215223103,pulse,1Hz,20250325_211216,Valid
