Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0005314864905209729,0.5314864905209729,531.4864905209729,puse,1Hz,20250320_220419,Valid
2,0.000542389852008457,0.5423898520084569,542.389852008457,puse,1Hz,20250320_220419,Valid
3,0.0005324434563509703,0.5324434563509703,532.4434563509703,puse,1Hz,20250320_220419,Valid
4,0.0005332187848932673,0.5332187848932672,533.2187848932673,puse,1Hz,20250320_220419,Valid
5,0.0005380887949260045,0.5380887949260045,538.0887949260045,puse,1Hz,20250320_220419,Valid
6,0.0005299406478578889,0.5299406478578889,529.9406478578888,puse,1Hz,20250320_220419,Valid
7,0.0005304039777863874,0.5304039777863874,530.4039777863874,puse,1Hz,20250320_220419,Valid
8,0.0005447759407967251,0.5447759407967251,544.7759407967251,puse,1Hz,20250320_220419,Valid
9,0.0005394480294272206,0.5394480294272206,539.4480294272206,puse,1Hz,20250320_220419,Valid
10,0.0005314096894409933,0.5314096894409933,531.4096894409932,puse,1Hz,20250320_220419,Valid
