Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,1.1949044585987112e-05,0.011949044585987112,11.949044585987112,pulse,1Hz,20250320_022226
2,0.0004295897435897434,0.4295897435897434,429.5897435897434,pulse,1Hz,20250320_022226
3,0.0005736551724137929,0.5736551724137929,573.6551724137929,pulse,1Hz,20250320_022226
4,0.0005368055299539171,0.5368055299539172,536.8055299539171,pulse,1Hz,20250320_022226
5,0.0005722150537634405,0.5722150537634405,572.2150537634404,pulse,1Hz,20250320_022226
6,0.0006125198156682025,0.6125198156682026,612.5198156682026,pulse,1Hz,20250320_022226
7,0.00012968864468864506,0.12968864468864505,129.68864468864507,pulse,1Hz,20250320_022226
8,0.0005101150537634409,0.5101150537634409,510.11505376344087,pulse,1Hz,20250320_022226
9,0.0005174482758620697,0.5174482758620698,517.4482758620697,pulse,1Hz,20250320_022226
10,0.000468282051282051,0.468282051282051,468.28205128205104,pulse,1Hz,20250320_022226
