Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0005341052631578945,0.5341052631578944,534.1052631578945,pulse,1Hz,20250325_204836,Valid
2,0.0005436088617265091,0.543608861726509,543.6088617265091,pulse,1Hz,20250325_204836,Valid
3,0.0005457894736842105,0.5457894736842105,545.7894736842105,pulse,1Hz,20250325_204836,Valid
4,0.0005422242562929065,0.5422242562929065,542.2242562929065,pulse,1Hz,20250325_204836,Valid
5,0.0005387228070175442,0.5387228070175442,538.7228070175443,pulse,1Hz,20250325_204836,Valid
6,0.0005491228070175436,0.5491228070175436,549.1228070175436,pulse,1Hz,20250325_204836,Valid
7,0.0005402654600301664,0.5402654600301664,540.2654600301663,pulse,1Hz,20250325_204836,Valid
8,0.0005454441558441559,0.545444155844156,545.444155844156,pulse,1Hz,20250325_204836,Valid
9,0.0005432561403508774,0.5432561403508774,543.2561403508774,pulse,1Hz,20250325_204836,Valid
10,0.0005459402597402598,0.5459402597402597,545.9402597402598,pulse,1Hz,20250325_204836,Valid
11,0.0005436155606407324,0.5436155606407325,543.6155606407324,pulse,1Hz,20250325_204836,Valid
12,0.0005408242424242429,0.5408242424242429,540.8242424242429,pulse,1Hz,20250325_204836,Valid
13,0.0005439368421052633,0.5439368421052633,543.9368421052633,pulse,1Hz,20250325_204836,Valid
14,0.0005462441558441559,0.546244155844156,546.2441558441559,pulse,1Hz,20250325_204836,Valid
15,0.0005412631578947373,0.5412631578947372,541.2631578947372,pulse,1Hz,20250325_204836,Valid
16,0.0005400259740259745,0.5400259740259745,540.0259740259745,pulse,1Hz,20250325_204836,Valid
17,0.0005452440191387561,0.5452440191387561,545.2440191387561,pulse,1Hz,20250325_204836,Valid
18,0.0005435037593984964,0.5435037593984964,543.5037593984964,pulse,1Hz,20250325_204836,Valid
19,0.0005429894736842108,0.5429894736842108,542.9894736842108,pulse,1Hz,20250325_204836,Valid
20,0.0005451894736842106,0.5451894736842107,545.1894736842106,pulse,1Hz,20250325_204836,Valid
21,0.0005427368421052634,0.5427368421052634,542.7368421052633,pulse,1Hz,20250325_204836,Valid
22,0.0005437894736842107,0.5437894736842107,543.7894736842107,pulse,1Hz,20250325_204836,Valid
23,0.0005388102564102568,0.5388102564102568,538.8102564102568,pulse,1Hz,20250325_204836,Valid
24,0.0005470422077922078,0.5470422077922078,547.0422077922078,pulse,1Hz,20250325_204836,Valid
25,0.0005464561403508771,0.5464561403508772,546.4561403508771,pulse,1Hz,20250325_204836,Valid
26,0.0005385194508009157,0.5385194508009157,538.5194508009157,pulse,1Hz,20250325_204836,Valid
27,0.000547345029239766,0.5473450292397659,547.345029239766,pulse,1Hz,20250325_204836,Valid
28,0.000545344155844156,0.545344155844156,545.3441558441559,pulse,1Hz,20250325_204836,Valid
29,0.0005373279352226723,0.5373279352226723,537.3279352226723,pulse,1Hz,20250325_204836,Valid
30,0.0005443609022556393,0.5443609022556393,544.3609022556393,pulse,1Hz,20250325_204836,Valid
31,0.0005407603890362515,0.5407603890362515,540.7603890362515,pulse,1Hz,20250325_204836,Valid
32,0.0005469435897435897,0.5469435897435897,546.9435897435898,pulse,1Hz,20250325_204836,Valid
33,0.0005409561403508776,0.5409561403508776,540.9561403508776,pulse,1Hz,20250325_204836,Valid
34,0.0005425637891520247,0.5425637891520246,542.5637891520247,pulse,1Hz,20250325_204836,Valid
35,0.0005501948717948715,0.5501948717948715,550.1948717948715,pulse,1Hz,20250325_204836,Valid
36,0.0005404953560371521,0.5404953560371522,540.4953560371521,pulse,1Hz,20250325_204836,Valid
37,0.0005492753036437244,0.5492753036437245,549.2753036437244,pulse,1Hz,20250325_204836,Valid
38,0.0005371894736842107,0.5371894736842107,537.1894736842106,pulse,1Hz,20250325_204836,Valid
39,0.0005495064935064932,0.5495064935064932,549.5064935064933,pulse,1Hz,20250325_204836,Valid
40,0.0005389870129870135,0.5389870129870135,538.9870129870135,pulse,1Hz,20250325_204836,Valid
41,0.0005424561403508775,0.5424561403508775,542.4561403508775,pulse,1Hz,20250325_204836,Valid
42,0.0005508664383561649,0.5508664383561649,550.8664383561648,pulse,1Hz,20250325_204836,Valid
43,0.000540750877192983,0.540750877192983,540.750877192983,pulse,1Hz,20250325_204836,Valid
44,0.0005430343773873188,0.5430343773873189,543.0343773873188,pulse,1Hz,20250325_204836,Valid
45,0.0005387368421052635,0.5387368421052635,538.7368421052635,pulse,1Hz,20250325_204836,Valid
46,0.0005355541795665634,0.5355541795665634,535.5541795665633,pulse,1Hz,20250325_204836,Valid
47,0.0005448069264069265,0.5448069264069265,544.8069264069266,pulse,1Hz,20250325_204836,Valid
48,0.0005379433198380569,0.5379433198380569,537.9433198380569,pulse,1Hz,20250325_204836,Valid
49,0.0005459494190020506,0.5459494190020506,545.9494190020506,pulse,1Hz,20250325_204836,Valid
50,0.0005444561403508773,0.5444561403508773,544.4561403508773,pulse,1Hz,20250325_204836,Valid
51,0.0005396441558441564,0.5396441558441564,539.6441558441564,pulse,1Hz,20250325_204836,Valid
52,0.0005442822966507178,0.5442822966507178,544.2822966507177,pulse,1Hz,20250325_204836,Valid
53,0.0005464588744588744,0.5464588744588744,546.4588744588744,pulse,1Hz,20250325_204836,Valid
54,0.0005417894736842109,0.5417894736842108,541.7894736842109,pulse,1Hz,20250325_204836,Valid
55,0.0005401228070175443,0.5401228070175443,540.1228070175443,pulse,1Hz,20250325_204836,Valid
56,0.0005389199084668196,0.5389199084668196,538.9199084668196,pulse,1Hz,20250325_204836,Valid
57,0.0005447368421052632,0.5447368421052632,544.7368421052632,pulse,1Hz,20250325_204836,Valid
58,0.0005482894736842103,0.5482894736842103,548.2894736842103,pulse,1Hz,20250325_204836,Valid
59,0.0005408513708513713,0.5408513708513712,540.8513708513713,pulse,1Hz,20250325_204836,Valid
60,0.0005468864468864468,0.5468864468864468,546.8864468864468,pulse,1Hz,20250325_204836,Valid
61,0.0005396883116883122,0.5396883116883122,539.6883116883122,pulse,1Hz,20250325_204836,Valid
62,0.0005387956656346753,0.5387956656346753,538.7956656346753,pulse,1Hz,20250325_204836,Valid
63,0.0005350441558441558,0.5350441558441558,535.0441558441557,pulse,1Hz,20250325_204836,Valid
64,0.0005423636363636367,0.5423636363636367,542.3636363636367,pulse,1Hz,20250325_204836,Valid
65,0.0005464069264069264,0.5464069264069263,546.4069264069263,pulse,1Hz,20250325_204836,Valid
66,0.0005441518481518483,0.5441518481518484,544.1518481518483,pulse,1Hz,20250325_204836,Valid
67,0.0005406783625730999,0.5406783625730999,540.6783625730999,pulse,1Hz,20250325_204836,Valid
68,0.000545582995951417,0.545582995951417,545.582995951417,pulse,1Hz,20250325_204836,Valid
69,0.0005410701754385969,0.5410701754385968,541.0701754385968,pulse,1Hz,20250325_204836,Valid
70,0.0005398988380041017,0.5398988380041017,539.8988380041017,pulse,1Hz,20250325_204836,Valid
71,0.0005478441558441557,0.5478441558441558,547.8441558441557,pulse,1Hz,20250325_204836,Valid
72,0.0005443402597402598,0.5443402597402598,544.3402597402599,pulse,1Hz,20250325_204836,Valid
73,0.0005454,0.5454,545.4,pulse,1Hz,20250325_204836,Valid
74,0.0005424561403508775,0.5424561403508775,542.4561403508775,pulse,1Hz,20250325_204836,Valid
75,0.0005457333333333333,0.5457333333333333,545.7333333333333,pulse,1Hz,20250325_204836,Valid
76,0.0005472662538699689,0.547266253869969,547.2662538699689,pulse,1Hz,20250325_204836,Valid
