Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
1,0.0005394215873015878,0.5394215873015877,539.4215873015878,puse,1Hz,20250320_220149,Valid
2,0.0005475314285714284,0.5475314285714284,547.5314285714285,puse,1Hz,20250320_220149,Valid
3,0.0005430610706207592,0.5430610706207591,543.0610706207592,puse,1Hz,20250320_220149,Valid
4,0.0005446324341891455,0.5446324341891455,544.6324341891456,puse,1Hz,20250320_220149,Valid
5,0.0005441767676767679,0.5441767676767679,544.1767676767679,puse,1Hz,20250320_220149,Valid
6,0.0005462929323308271,0.5462929323308271,546.292932330827,puse,1Hz,20250320_220149,Valid
7,0.0005411945341614911,0.5411945341614911,541.1945341614911,puse,1Hz,20250320_220149,Valid
8,0.0005488957219251335,0.5488957219251335,548.8957219251334,puse,1Hz,20250320_220149,Valid
9,0.000540954545454546,0.5409545454545459,540.954545454546,puse,1Hz,20250320_220149,Valid
10,0.0005489684656084654,0.5489684656084654,548.9684656084653,puse,1Hz,20250320_220149,Valid
