Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,72.24435602200501,54.757012230150835,-17.487343791854173,-54.17050760374501,-37.19567445670777,3.5279999999999996,0.6912,sine,1kHz,20250320_231627,,,
2,72.25794858929623,54.80670000172667,-17.451248587569566,-54.03822845348479,-29.97769425932787,3.5279999999999996,0.6912,sine,1kHz,20250320_231635,,,
3,72.19628531304237,55.14523215520902,-17.051053157833344,-49.659418564229625,-20.307358468412524,3.5279999999999996,0.6912,sine,1kHz,20250320_231643,,,
4,72.01270031747674,54.788561149862545,-17.224139167614197,-50.71658186952075,-42.35725097277215,3.5279999999999996,0.6912,sine,1kHz,20250320_231650,,,
5,71.55107787558285,55.04940156345795,-16.5016763121249,-52.05356464987315,-34.28335362150171,3.5423999999999998,0.6768000000000001,sine,1kHz,20250320_231658,,,
6,71.91899331981931,55.28230152227227,-16.636691797547037,-53.41382960730961,-41.00583484714451,3.5279999999999996,0.7056,sine,1kHz,20250320_231706,,,
7,71.90491620397825,54.988491793771644,-16.916424410206602,-52.0637315102294,-39.68158290448415,3.5423999999999998,0.7056,sine,1kHz,20250320_231713,,,
8,71.8865533415401,55.24510006911581,-16.641453272424286,-57.42252807718209,-24.86277895978919,3.5279999999999996,0.6912,sine,1kHz,20250320_231721,,,
9,71.73180991516237,54.970240011698344,-16.76156990346403,-53.74279982261009,-40.68609775381239,3.5423999999999998,0.6912,sine,1kHz,20250320_231729,,,
10,71.69657733335255,55.38069587284481,-16.31588146050774,-45.97443243411455,-24.566008806941642,3.5279999999999996,0.7056,sine,1kHz,20250320_231736,,,
