Time,CH1,CH2
-0.016,0.248,0.10400000000000001
-0.015984,0.448,0.096
-0.015968,0.64,0.08
-0.015952,0.8240000000000001,0.07200000000000001
-0.015936,1.0,0.064
-0.01592,1.016,0.07200000000000001
-0.015904,1.016,0.088
-0.015888,1.016,0.07200000000000001
-0.015872,1.016,0.04
-0.015856000000000002,1.016,0.088
-0.01584,1.016,0.088
-0.015824,1.016,0.064
-0.015808,1.016,0.07200000000000001
-0.015792,1.016,0.064
-0.015776000000000002,1.016,0.064
-0.01576,1.016,0.08
-0.015744,1.016,0.08
-0.015728,1.016,0.048
-0.015712,1.016,0.056
-0.015696,1.016,0.088
-0.01568,1.016,0.08
-0.015664,1.016,0.08
-0.015648,1.016,0.064
-0.015632,1.016,0.07200000000000001
-0.015616,1.016,0.07200000000000001
-0.015600000000000001,0.968,0.096
-0.015584,0.776,0.07200000000000001
-0.015568,0.5760000000000001,-0.008
-0.015552,0.384,-0.056
-0.015536000000000001,0.2,-0.048
-0.01552,-0.008,-0.04
-0.015504,-0.20800000000000002,-0.048
-0.015488,-0.40800000000000003,-0.056
-0.015472,-0.6,-0.04
-0.015456000000000001,-0.776,-0.048
-0.01544,-0.976,-0.07200000000000001
-0.015424,-1.016,-0.07200000000000001
-0.015408,-1.016,-0.056
-0.015392000000000001,-1.016,-0.064
-0.015376,-1.016,-0.048
-0.01536,-1.016,-0.056
-0.015344,-1.016,-0.07200000000000001
-0.015328,-1.016,-0.064
-0.015312000000000001,-1.016,-0.04
-0.015296,-1.016,-0.08
-0.01528,-1.016,-0.07200000000000001
-0.015264,-1.016,-0.064
-0.015248000000000001,-1.016,-0.064
-0.015232,-1.016,-0.064
-0.015216,-1.016,-0.048
-0.0152,-1.016,-0.07200000000000001
-0.015184,-1.016,-0.08
-0.015168000000000001,-1.016,-0.048
-0.015152,-1.016,-0.04
-0.015136,-1.016,-0.08
-0.01512,-1.016,-0.07200000000000001
-0.015104000000000001,-1.016,-0.07200000000000001
-0.015088,-0.8320000000000001,-0.096
-0.015072,-0.632,-0.024
-0.015056,-0.44,0.056
-0.015040000000000001,-0.248,0.064
-0.015024000000000001,-0.048,0.056
-0.015008,0.152,0.10400000000000001
-0.014992,0.36,0.07200000000000001
-0.014976,0.552,0.048
-0.014960000000000001,0.744,0.07200000000000001
-0.014944,0.912,0.064
-0.014928,1.016,0.064
-0.014912,1.016,0.08
-0.014896,1.016,0.024
-0.01488,1.016,0.048
-0.014864,1.016,0.088
-0.014848,1.016,0.064
-0.014832,1.016,0.08
-0.014816000000000001,1.016,0.07200000000000001
-0.0148,1.016,0.064
-0.014784,1.016,0.07200000000000001
-0.014768,1.016,0.088
-0.014752000000000001,1.016,0.04
-0.014736,1.016,0.048
-0.01472,1.016,0.08
-0.014704,1.016,0.07200000000000001
-0.014688,1.016,0.088
-0.014672000000000001,1.016,0.07200000000000001
-0.014656,1.016,0.08
-0.01464,1.016,0.088
-0.014624,1.016,0.10400000000000001
-0.014608,1.016,0.056
-0.014592,0.864,0.08
-0.014576,0.672,0.048
-0.01456,0.488,-0.048
-0.014544000000000001,0.304,-0.048
-0.014528000000000001,0.088,-0.032
-0.014512,-0.112,-0.056
-0.014496,-0.304,-0.064
-0.01448,-0.504,-0.024
-0.014464000000000001,-0.6880000000000001,-0.056
-0.014448,-0.872,-0.07200000000000001
-0.014432,-1.016,-0.064
-0.014416,-1.016,-0.056
-0.0144,-1.016,-0.048
-0.014384000000000001,-1.016,-0.04
-0.014368,-1.016,-0.064
-0.014352,-1.016,-0.08
-0.014336,-1.016,-0.032
-0.014320000000000001,-1.016,-0.04
-0.014304,-1.016,-0.056
-0.014288,-1.016,-0.064
-0.014272,-1.016,-0.07200000000000001
-0.014256000000000001,-1.016,-0.064
-0.014240000000000001,-1.016,-0.056
-0.014224,-1.016,-0.07200000000000001
-0.014208,-1.016,-0.08
-0.014192,-1.016,-0.07200000000000001
-0.014176000000000001,-1.016,-0.048
-0.01416,-1.016,-0.07200000000000001
-0.014144,-1.016,-0.08
-0.014128,-1.016,-0.08
-0.014112,-1.016,-0.088
-0.014096000000000001,-0.928,-0.07200000000000001
-0.01408,-0.736,-0.048
-0.014064,-0.552,0.016
-0.014048,-0.36,0.064
-0.014032000000000001,-0.16,0.064
-0.014016,0.048,0.07200000000000001
-0.014,0.248,0.08
-0.013984,0.432,0.056
-0.013968000000000001,0.624,0.056
-0.013952,0.8160000000000001,0.08
-0.013936,1.008,0.08
-0.01392,1.016,0.048
-0.013904,1.016,0.056
-0.013888000000000001,1.016,0.07200000000000001
-0.013872,1.016,0.07200000000000001
-0.013856,1.016,0.088
-0.01384,1.016,0.08
-0.013824,1.016,0.064
-0.013808,1.016,0.064
-0.013792,1.016,0.10400000000000001
-0.013776,1.016,0.07200000000000001
-0.013760000000000001,1.016,0.064
-0.013744000000000001,1.016,0.07200000000000001
-0.013728,1.016,0.088
-0.013712,1.016,0.10400000000000001
-0.013696,1.016,0.08
-0.013680000000000001,1.016,0.08
-0.013664,1.016,0.07200000000000001
-0.013648,1.016,0.112
-0.013632,1.016,0.10400000000000001
-0.013616,1.016,0.08
-0.013600000000000001,0.9520000000000001,0.07200000000000001
-0.013584,0.768,0.08
-0.013568,0.592,-0.008
