Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Signal Shape,Signal Frequency
1,45.709471346064745,38.155406686124486,-7.554064659940259,8.522855231191524,7.7460668163179935,sine,20Hz
2,44.09728600243181,33.11323928587481,-10.984046716556996,3.7747522828696893,4.2865728683604205,sine,20Hz
3,43.85091809954841,33.10100775228537,-10.74991034726304,3.758221485291438,4.365552029391476,sine,20Hz
4,43.462228910660016,33.048264953096506,-10.41396395756351,3.8801428452764886,4.2363628468612715,sine,20Hz
5,43.706731208762335,32.94124810890172,-10.765483099860617,3.9346719636585576,4.175410813038578,sine,20Hz
6,45.10459438659696,33.63964701103316,-11.464947375563796,4.768656307282955,4.775107704018967,sine,20Hz
7,43.718296874312855,33.03351022569613,-10.684786648616722,3.756559332052556,4.218501064289752,sine,20Hz
8,43.98817625364544,33.352595835785756,-10.635580417859686,3.680554324031961,4.5525514671455705,sine,20Hz
9,44.78798308027691,37.59365924894371,-7.1943238313332,5.097264473937075,7.933589232825488,sine,20Hz
10,46.119248679091896,38.961121884356935,-7.158126794734962,8.50163540581233,7.716784648738838,sine,20Hz
