Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,42.36641312179281,51.487275119814164,9.120861998021354,-7.346712506869473,-12.12462081630071,1.7855999999999999,1.0944,sin,1kHz,20250325_194703,,,
2,66.375395937325,61.15362954299539,-5.221766394329606,-31.016005671495822,-6.710522933347134,1.7999999999999998,1.1376,sin,1kHz,20250325_194711,,,
3,66.33031490230496,60.3808263679104,-5.949488534394561,-37.30697458565428,-35.32111602711577,1.7711999999999999,1.1376,sin,1kHz,20250325_194719,,,
4,66.38343759073567,60.456302510077506,-5.927135080658161,-41.88330587300065,-42.72761145751551,1.7855999999999999,1.1232,sin,1kHz,20250325_194726,,,
5,66.20460788064331,61.252246812261234,-4.952361068382075,-37.49654001308598,-41.3199515922544,1.7855999999999999,1.1088,sin,1kHz,20250325_194734,,,
6,66.40335879743358,61.01319705774798,-5.3901617396856025,-48.34163263657067,-41.94072540665954,1.7855999999999999,1.1376,sin,1kHz,20250325_194742,,,
7,65.81646547526145,60.8659442695432,-4.950521205718253,-45.66488036304558,-42.10534543216138,1.7855999999999999,1.1232,sin,1kHz,20250325_194749,,,
8,66.22081055572355,61.199646214258436,-5.021164341465109,-40.754538342081474,-38.945417104928744,1.7855999999999999,1.1232,sin,1kHz,20250325_194757,,,
9,66.08574309027568,60.2795788179155,-5.806164272360185,-43.51011096264253,-31.647654953180727,1.7855999999999999,1.1232,sin,1kHz,20250325_194804,,,
10,66.13820641678926,60.95744033968628,-5.18076607710298,-37.13433655347173,-34.567590052226656,1.7855999999999999,1.1232,sin,1kHz,20250325_194812,,,
11,65.98473347847555,60.801760511271084,-5.1829729672044635,-42.010836859433155,-36.29381805836943,1.7855999999999999,1.1376,sin,1kHz,20250325_194820,,,
12,66.1513512457595,61.0656330448932,-5.085718200866303,-41.39000677060531,-35.38409558849831,1.7855999999999999,1.1376,sin,1kHz,20250325_194827,,,
13,65.46434916924703,60.72857889015836,-4.735770279088669,-40.74765644659351,-26.33979285155155,1.7855999999999999,1.1232,sin,1kHz,20250325_194835,,,
14,65.77307249660824,60.79878945042558,-4.974283046182656,-49.1730594060645,-40.99014482897255,1.7855999999999999,1.1232,sin,1kHz,20250325_194843,,,
15,66.18532307502085,60.2032632798841,-5.982059795136749,-42.7279257472101,-35.41087955122879,1.7999999999999998,1.152,sin,1kHz,20250325_194850,,,
16,65.68152286051438,60.69589341679784,-4.98562944371654,-20.18985356701956,-44.36698788856769,1.7855999999999999,1.1232,sin,1kHz,20250325_194858,,,
17,66.03441979383169,60.685513977427235,-5.348905816404454,-48.747560907218066,-44.73787432463469,1.7855999999999999,1.1376,sin,1kHz,20250325_194906,,,
18,65.76175077243194,60.755447353065286,-5.0063034193666525,-45.67838493998114,-46.8022864287085,1.7999999999999998,1.152,sin,1kHz,20250325_194913,,,
19,65.6339360864039,60.32633762736981,-5.3075984590340965,-47.22762939537505,-42.01005580803127,1.7855999999999999,1.1232,sin,1kHz,20250325_194921,,,
20,65.38424310065338,60.39844625418433,-4.98579684646905,-52.02921573360018,-36.34379120391272,1.7711999999999999,1.1663999999999999,sin,1kHz,20250325_194929,,,
