Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Signal Shape,Signal Frequency
1,42.270523093002595,36.47664937979488,-5.7938737132077165,-28.628493362968477,-29.89460141913316,sine,1kHz
2,42.0302131088276,36.348623495745485,-5.681589613082117,-28.02622159448728,-28.982297159867464,sine,1kHz
3,41.850070369548135,36.41011704961527,-5.439953319932862,-27.694471687322654,-26.737311430006393,sine,1kHz
4,42.08685657779451,36.02136028902478,-6.0654962887697295,-28.985244371207468,-26.779257078109868,sine,1kHz
5,41.91993018528042,36.58144880156484,-5.338481383715582,-28.34145311390217,-26.050044040645982,sine,1kHz
6,42.243337740081245,36.5477047822779,-5.6956329578033476,-28.917615553185744,-26.832848164779502,sine,1kHz
7,42.81840558171892,37.22419737408263,-5.594208207636292,-28.541088280212247,-28.593528578403827,sine,1kHz
8,42.92181472921959,37.542973522260915,-5.3788412069586755,-28.390877336361378,-27.609488126464782,sine,1kHz
9,42.84168418328377,37.73648059516014,-5.105203588123629,-28.069062573463064,-28.340366592398652,sine,1kHz
10,42.88028590844172,36.935877732928034,-5.944408175513686,-29.363108019789813,-27.345251548678675,sine,1kHz
