Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,71.80924794311176,66.76376683896956,-5.045481104142198,-52.50575712987201,-43.19565648141257,3.136,1.8944,sine,1kHz,20250320_004107,,,
2,71.37851002412175,66.53005998778633,-4.8484500363354215,-40.117417400830455,-57.91472385955039,3.136,1.92,sine,1kHz,20250320_004115,,,
3,71.72175818182968,66.62485120648986,-5.09690697533982,-50.33127865132166,-48.8881371930259,3.136,1.9200000000000002,sine,1kHz,20250320_004122,,,
4,72.14502804422182,66.55430026526614,-5.5907277789556815,-49.32079919280156,-31.28072841666517,3.136,1.9328,sine,1kHz,20250320_004130,,,
5,71.92616726357471,66.22825867055779,-5.697908593016919,-50.64680811746812,-50.52310008500912,3.136,1.8816000000000002,sine,1kHz,20250320_004138,,,
6,71.78244001979438,67.43365399042843,-4.348786029365954,-53.94380850951211,-52.583122114244894,3.1488,1.9072,sine,1kHz,20250320_004145,,,
7,72.01237671321003,66.58748395388197,-5.42489275932806,-40.95802618064382,-46.9659289938423,3.1488,1.92,sine,1kHz,20250320_004153,,,
8,71.7778689441322,66.94259145688207,-4.835277487250124,-54.02262796366539,-51.38819258894864,3.1232,1.9200000000000002,sine,1kHz,20250320_004201,,,
9,72.16763996404754,67.02347547292436,-5.144164491123178,-50.98940470898154,-55.989543067299905,3.1488,1.8944,sine,1kHz,20250320_004208,,,
10,71.88822571701807,66.89373219056749,-4.994493526450583,-52.399179828666966,-27.274545108261137,3.1488,1.9072,sine,1kHz,20250320_004216,,,
