Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp
1,70.24330890084313,63.596975014876314,-6.646333885966818,-48.66052200307137,-50.13887722826248,3.5423999999999998,2.1311999999999998,sine,1kHz,20250320_000458
2,70.36474141574035,63.52993904940217,-6.834802366338188,-51.160716669501305,-49.42945001630014,3.5423999999999998,2.16,sine,1kHz,20250320_000505
3,70.18771561520816,63.40950597431409,-6.778209640894076,-50.92537657512995,-48.272683351923504,3.5423999999999998,2.16,sine,1kHz,20250320_000513
4,70.08800794686104,63.54824492435444,-6.539763022506598,-50.40257614883305,-50.34780942196253,3.5423999999999998,2.1311999999999998,sine,1kHz,20250320_000520
5,70.5083273188124,63.46448556336973,-7.043841755442678,-51.56051801112661,-49.34087055148347,3.5423999999999998,2.16,sine,1kHz,20250320_000528
6,70.43826052373421,63.606744974876094,-6.831515548858121,-51.28458219577084,-49.76450303290409,3.5423999999999998,2.16,sine,1kHz,20250320_000535
7,70.13593304408899,63.554177519119285,-6.581755524969701,-50.74907410793462,-49.47807132914554,3.5423999999999998,2.1456,sine,1kHz,20250320_000543
8,70.3722361972146,63.37919472114454,-6.993041476070061,-49.76375605765533,-50.18093910746427,3.5423999999999998,2.1456,sine,1kHz,20250320_000550
9,70.44189010781845,63.599794096124214,-6.842096011694238,-50.80678999832365,-49.45103105095181,3.5423999999999998,2.16,sine,1kHz,20250320_000558
10,70.45693209759423,63.22696019873432,-7.229971898859915,-49.51459256518515,-49.11230940288405,3.5423999999999998,2.1311999999999998,sine,1kHz,20250320_000605
