Time,CH1,CH2
-0.008,0.16,0.88
-0.007992,0.64,0.56
-0.007984,1.12,0.16
-0.007976,1.68,-0.16
-0.007968,2.08,-0.32
-0.00796,2.48,-0.64
-0.007952,3.04,-0.8
-0.007944,3.52,-0.96
-0.007936,4.0,-1.04
-0.007928000000000001,4.4,-1.12
-0.00792,4.8,-1.04
-0.007912,5.28,-0.96
-0.007904,5.68,-1.04
-0.007896,6.0,-1.04
-0.007888000000000001,6.32,-1.04
-0.00788,6.72,-1.12
-0.007872,7.04,-1.04
-0.007864,7.36,-1.04
-0.007856,7.68,-0.96
-0.007848,8.0,-1.04
-0.00784,8.16,-1.12
-0.007832,8.56,-1.12
-0.007824,8.8,-1.12
-0.007816,8.96,-1.12
-0.007808,9.120000000000001,-1.12
-0.0078000000000000005,9.28,-1.12
-0.007792,9.44,-1.12
-0.007784,9.52,-1.12
-0.007776,9.6,-1.12
-0.007768000000000001,9.68,-1.12
-0.00776,9.68,-1.12
-0.007752,9.68,-1.12
-0.007744,9.6,-1.12
-0.007736,9.6,-1.12
-0.0077280000000000005,9.52,-1.12
-0.00772,9.52,-1.12
-0.007712,9.44,-1.12
-0.007704,9.28,-1.12
-0.007696000000000001,9.120000000000001,-1.2
-0.007688,8.88,-1.12
-0.00768,8.72,-1.12
-0.007672,8.48,-1.12
-0.007664,8.16,-1.12
-0.0076560000000000005,7.92,-1.2
-0.007648,7.6000000000000005,-1.12
-0.00764,7.36,-1.12
-0.007632,7.04,-1.2
-0.007624000000000001,6.640000000000001,-1.12
-0.007616,6.32,-1.2
-0.007608,5.84,-1.2
-0.0076,5.6000000000000005,-1.2
-0.007592,5.04,-1.2
-0.0075840000000000005,4.72,-1.2
-0.007576,4.32,-1.12
-0.007568,3.84,-1.12
-0.00756,3.44,-1.2
-0.0075520000000000006,2.96,-1.2
-0.007544,2.48,-1.2
-0.007536,2.0,-1.2
-0.007528,1.52,-1.04
-0.007520000000000001,1.04,-0.88
-0.0075120000000000004,0.48,-0.72
-0.007504,0.08,-0.56
-0.007496,-0.4,-0.16
-0.007488,-0.88,0.16
-0.0074800000000000005,-1.44,0.4
-0.007472,-1.92,0.8
