Time,CH1,CH2
-0.008,0.08,2.72
-0.007992,0.16,2.24
-0.007984,0.24,1.6
-0.007976,0.16,1.12
-0.007968,0.24,0.64
-0.00796,0.32,0.16
-0.007952,0.4,-0.32
-0.007944,0.4,-0.88
-0.007936,0.4,-1.44
-0.007928000000000001,0.48,-1.92
-0.00792,0.48,-2.4
-0.007912,0.56,-2.88
-0.007904,0.48,-3.44
-0.007896,0.64,-3.84
-0.007888000000000001,0.64,-4.32
-0.00788,0.72,-4.8
-0.007872,0.72,-5.2
-0.007864,0.72,-5.68
-0.007856,0.72,-6.08
-0.007848,0.8,-6.48
-0.00784,0.8,-6.96
-0.007832,0.8,-7.2
-0.007824,0.88,-7.5200000000000005
-0.007816,0.88,-7.92
-0.007808,0.88,-8.24
-0.0078000000000000005,0.88,-8.48
-0.007792,0.88,-8.72
-0.007784,0.8,-9.120000000000001
-0.007776,0.88,-9.200000000000001
-0.007768000000000001,0.88,-9.52
-0.00776,0.88,-9.6
-0.007752,0.88,-9.76
-0.007744,0.88,-9.92
-0.007736,0.88,-10.08
-0.0077280000000000005,0.88,-10.08
-0.00772,0.88,-10.08
-0.007712,0.88,-10.16
-0.007704,0.8,-10.16
-0.007696000000000001,0.8,-10.16
-0.007688,0.8,-10.08
-0.00768,0.64,-10.0
-0.007672,0.64,-9.84
-0.007664,0.72,-9.76
-0.0076560000000000005,0.64,-9.68
-0.007648,0.64,-9.36
-0.00764,0.56,-9.200000000000001
-0.007632,0.56,-9.040000000000001
-0.007624000000000001,0.56,-8.72
-0.007616,0.56,-8.4
-0.007608,0.48,-8.08
-0.0076,0.4,-7.84
-0.007592,0.4,-7.44
-0.0075840000000000005,0.4,-7.2
-0.007576,0.32,-6.8
-0.007568,0.24,-6.32
-0.00756,0.24,-6.0
-0.0075520000000000006,0.16,-5.44
-0.007544,0.16,-5.12
-0.007536,0.08,-4.64
-0.007528,0.0,-4.16
-0.007520000000000001,0.0,-3.68
-0.0075120000000000004,0.0,-3.2
-0.007504,-0.08,-2.8000000000000003
-0.007496,-0.08,-2.16
-0.007488,-0.16,-1.76
-0.0074800000000000005,-0.16,-1.2
-0.007472,-0.24,-0.72
-0.007464,-0.32,-0.24
-0.007456,-0.32,0.24
-0.007448,-0.32,0.8
-0.00744,-0.4,1.36
-0.007432,-0.4,1.84
-0.007424,-0.48,2.32
-0.007416,-0.48,2.88
-0.0074080000000000005,-0.56,3.36
-0.0074,-0.56,3.84
-0.007392,-0.56,4.32
-0.007384,-0.72,4.8
-0.007376000000000001,-0.64,5.28
-0.007368,-0.72,5.68
-0.00736,-0.72,6.08
-0.007352,-0.72,6.4
-0.007344,-0.72,6.88
-0.0073360000000000005,-0.8,7.28
-0.007328,-0.88,7.68
-0.00732,-0.8,7.92
-0.007312,-0.8,8.32
-0.007304,-0.8,8.64
-0.007296,-0.8,8.88
-0.007288,-0.88,9.120000000000001
-0.00728,-0.96,9.36
-0.007272000000000001,-0.88,9.6
-0.0072640000000000005,-0.88,9.84
-0.007256,-0.88,9.92
-0.007248,-0.88,10.08
-0.00724,-0.8,10.16
-0.007232000000000001,-0.8,10.16
-0.007224,-0.88,10.16
-0.007216,-0.8,10.16
-0.007208,-0.88,10.16
-0.0072,-0.8,10.16
-0.0071920000000000005,-0.72,10.16
-0.007184,-0.72,10.16
-0.007176,-0.72,10.16
-0.007168,-0.72,10.08
-0.0071600000000000006,-0.64,9.92
-0.007152,-0.64,9.76
-0.007144,-0.64,9.52
-0.007136,-0.64,9.28
-0.007128000000000001,-0.56,9.040000000000001
-0.0071200000000000005,-0.48,8.8
-0.007112,-0.56,8.56
-0.007104,-0.4,8.24
-0.007096,-0.48,7.92
-0.0070880000000000006,-0.32,7.5200000000000005
-0.00708,-0.24,7.2
-0.007072,-0.24,6.72
-0.007064,-0.24,6.24
-0.007056,-0.16,6.0
-0.0070480000000000004,-0.16,5.6000000000000005
-0.00704,-0.08,5.12
-0.007032,-0.08,4.64
-0.007024,0.0,4.16
-0.0070160000000000005,0.0,3.7600000000000002
-0.007008,0.0,3.12
-0.007,0.16,2.72
-0.006992,0.16,2.16
-0.006984000000000001,0.16,1.68
-0.006976,0.24,1.12
-0.006968,0.32,0.64
-0.00696,0.24,0.16
-0.006952,0.4,-0.32
