Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,52.63508642395564,73.94484837540767,21.309761951452032,-43.02000078273596,-38.763234717125265,1.92,20.32,sine,1kHz_Final_pt2,20250331_194424,,,
2,51.89932987251193,73.5291018333503,21.62977196083837,-26.631312244681048,-48.26729609413978,1.92,20.32,sine,1kHz_Final_pt2,20250331_194431,,,
3,52.52103282325286,73.66743240161917,21.146399578366307,-20.71507965096589,-51.50036308148769,1.92,20.32,sine,1kHz_Final_pt2,20250331_194439,,,
4,52.68690065588804,73.61504362659709,20.928142970709047,-34.862706047104616,-37.613297548583645,1.92,20.32,sine,1kHz_Final_pt2,20250331_194446,,,
5,52.41872291504997,73.46425260873355,21.045529693683577,-24.393659452507087,-44.56062390461268,1.92,20.32,sine,1kHz_Final_pt2,20250331_194454,,,
6,52.40603839609416,73.0188386119563,20.612800215862137,-42.06564055938627,-46.14058299331441,1.92,20.32,sine,1kHz_Final_pt2,20250331_194502,,,
7,52.197074243401076,73.45915129123026,21.26207704782918,-40.17029665754312,-46.01591585860983,1.92,20.32,sine,1kHz_Final_pt2,20250331_194509,,,
8,52.695768483215474,73.18180495337332,20.486036470157842,-39.960506443603784,-49.65085752150435,1.92,20.32,sine,1kHz_Final_pt2,20250331_194517,,,
9,52.46741517906198,73.5299449161512,21.062529737089214,-36.414782975414326,-49.607828154862965,1.92,20.32,sine,1kHz_Final_pt2,20250331_194525,,,
10,52.70378146654579,73.23337488306872,20.52959341652293,-30.03327807348674,-34.45643851409871,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194532,,,
11,52.47072559285576,73.60283285284407,21.132107259988317,-40.195382699655475,-50.40834871788774,1.92,20.32,sine,1kHz_Final_pt2,20250331_194540,,,
12,52.401058621367085,73.86338677860616,21.46232815723907,-32.254227102937286,-47.02629547998349,1.92,20.32,sine,1kHz_Final_pt2,20250331_194548,,,
13,52.39690966296331,73.40056575077736,21.00365608781405,-40.09467647324972,-50.3819149740761,1.92,20.32,sine,1kHz_Final_pt2,20250331_194555,,,
14,52.306169845843236,72.82545176045878,20.51928191461554,-31.045332116042342,-41.87145878800828,1.92,20.32,sine,1kHz_Final_pt2,20250331_194603,,,
15,52.10941536466918,73.47249001268759,21.363074648018404,-25.539517701812077,-41.802435337034794,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194610,,,
16,52.65449598167005,73.49578335864432,20.841287376974265,-11.543211615391193,-60.79849580885516,1.92,20.32,sine,1kHz_Final_pt2,20250331_194618,,,
17,52.8426729274608,73.25995643481632,20.41728350735552,-30.975469653414073,-56.865775103015395,1.92,20.32,sine,1kHz_Final_pt2,20250331_194626,,,
18,52.22812159810683,73.72770209755222,21.499580499445393,-38.5688024977519,-48.88573570519783,1.92,20.32,sine,1kHz_Final_pt2,20250331_194633,,,
19,52.54240294529821,73.78855246474757,21.24614951944936,-41.33057993950296,-48.78105925095827,1.92,20.32,sine,1kHz_Final_pt2,20250331_194641,,,
20,52.66180913053798,73.09939713127802,20.437588000740043,-37.04978209007733,-50.61105436760512,1.92,20.32,sine,1kHz_Final_pt2,20250331_194649,,,
21,52.37011641178591,73.48165191438846,21.111535502602557,-38.138785529641986,-45.7949196683387,1.92,20.32,sine,1kHz_Final_pt2,20250331_194656,,,
22,52.91494426925504,73.69485064050009,20.779906371245055,-40.09200207976883,-21.135134234761605,1.92,20.32,sine,1kHz_Final_pt2,20250331_194704,,,
23,52.64541863683444,73.23094718901504,20.585528552180598,-37.653221319815835,-57.60977933065557,1.92,20.32,sine,1kHz_Final_pt2,20250331_194712,,,
24,52.41105550975224,73.3405127886762,20.929457278923955,-17.794500620889938,-32.29373780931876,1.92,20.32,sine,1kHz_Final_pt2,20250331_194719,,,
25,52.65038461092103,73.61492282908314,20.96453821816211,-39.118914787296234,-46.072329858468414,1.92,20.32,sine,1kHz_Final_pt2,20250331_194727,,,
26,52.6040975736331,74.09037899380452,21.486281420171423,-41.44617573973849,-31.865811401361015,1.92,20.32,sine,1kHz_Final_pt2,20250331_194734,,,
27,52.27870214030812,73.47521548734095,21.196513347032827,-31.976320619984687,-38.42731494020272,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194742,,,
28,52.712185896043664,73.72607153320365,21.013885637159987,-37.40221734261527,-46.11371117594588,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194750,,,
29,52.71767174641888,73.36540614777859,20.647734401359706,-28.794977916741693,-48.071579099961674,1.92,20.32,sine,1kHz_Final_pt2,20250331_194757,,,
30,52.883696897616595,73.94581598166896,21.062119084052362,-36.027143963852154,-20.69628967372998,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194805,,,
31,52.44863428596317,73.36920483763062,20.920570551667446,-21.977037744015245,-42.861897276586525,1.92,20.32,sine,1kHz_Final_pt2,20250331_194813,,,
32,52.90595105527295,74.10499358573023,21.199042530457277,-26.92170852979453,-28.80143360489537,1.92,20.32,sine,1kHz_Final_pt2,20250331_194820,,,
33,52.440825834046976,74.07817294667643,21.637347112629456,-2.440252657729302,-44.491489784465145,1.92,20.32,sine,1kHz_Final_pt2,20250331_194828,,,
34,51.69418958165335,73.40445843054772,21.710268848894373,-36.95320087807959,-51.36296040417382,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194835,,,
35,52.20569022412594,73.40554800923132,21.199857785105387,-38.17891554808211,-6.998803679284833,1.92,20.32,sine,1kHz_Final_pt2,20250331_194843,,,
36,52.59714983816281,73.6544046901264,21.05725485196359,-14.197968296903394,-44.651655963885624,1.92,20.32,sine,1kHz_Final_pt2,20250331_194851,,,
37,52.25012408106478,73.9273810816791,21.67725700061432,-32.772256422415666,-43.950377014591204,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194858,,,
38,52.17516076731424,73.06119563707135,20.88603486975711,-39.72890491731354,-47.66598530891207,1.92,20.32,sine,1kHz_Final_pt2,20250331_194906,,,
39,52.095023629873076,73.88397698530834,21.78895335543526,-34.832680096801944,-46.54059152971615,1.92,20.32,sine,1kHz_Final_pt2,20250331_194914,,,
40,53.05021808377031,73.33255203261467,20.28233394884436,-39.67437513919999,-55.571740546449284,1.92,20.32,sine,1kHz_Final_pt2,20250331_194921,,,
41,52.430388369604806,73.94153855535664,21.511150185751838,-36.256134667511866,-52.63917388463365,1.92,20.32,sine,1kHz_Final_pt2,20250331_194929,,,
42,52.44587965994012,73.49521015760314,21.04933049766302,-35.227403237058084,-32.3877515012549,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194937,,,
43,52.1596134420992,73.67791470642639,21.518301264327192,-35.1108540509863,-46.02891874859449,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194944,,,
44,52.615816037146665,73.6367866798097,21.020970642663038,-37.198874977798745,-52.10999738868372,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_194952,,,
45,52.35049495824799,73.76662615787376,21.416131199625767,-40.948164922645056,-23.50968098054768,1.92,20.32,sine,1kHz_Final_pt2,20250331_194959,,,
46,52.925345289304,74.4212560510916,21.495910761787606,-36.39919424416707,-50.7065745039668,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_195007,,,
47,52.39952810083254,74.28970528645172,21.89017718561918,-41.02322091176496,-58.695504610807504,1.92,20.32,sine,1kHz_Final_pt2,20250331_195015,,,
48,52.33082369862633,73.66440632310537,21.333582624479035,-34.62767459495909,-31.737782093392735,1.92,20.32,sine,1kHz_Final_pt2,20250331_195022,,,
49,52.04974664297801,74.0348887905276,21.985142147549595,-37.250066778556906,-57.77176597922727,1.8399999999999999,20.32,sine,1kHz_Final_pt2,20250331_195030,,,
50,52.93936358241482,73.61539538934045,20.67603180692563,-33.693829746374384,-50.10506778764374,1.92,20.32,sine,1kHz_Final_pt2,20250331_195038,,,
