Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Signal Shape,Signal Frequency
1,45.66740864904893,38.56465834676342,-7.102750302285507,-36.38813037307726,-30.19483489276203,sine,laptop_4kHz
2,45.56413040360251,38.68414975983484,-6.879980643767674,-36.147607731715254,-30.59842482983511,sine,laptop_4kHz
3,44.609741369200464,39.27657345009854,-5.333167919101925,-36.01873278493852,-30.398596579002096,sine,laptop_4kHz
4,44.9294202264355,39.07763153303678,-5.851788693398717,-33.023193309797605,-27.48725868912144,sine,laptop_4kHz
5,44.697513818738685,39.01016559180337,-5.687348226935313,-34.737831252906226,-28.36084282293339,sine,laptop_4kHz
6,45.09248116486986,39.3543590440857,-5.738122120784162,-34.16261607797508,-30.15870863748638,sine,laptop_4kHz
7,44.755983157305145,39.01784761065686,-5.738135546648287,-35.440517949673456,-30.352560465693784,sine,laptop_4kHz
8,45.53053576067312,39.11636794670412,-6.414167813968994,-35.2727993886453,-33.75147419735598,sine,laptop_4kHz
9,45.225379070272965,38.91777044207756,-6.307608628195403,-35.81256362466294,-30.265110764344698,sine,laptop_4kHz
10,45.06215260772698,39.191573732338966,-5.870578875388013,-35.51461618548507,-30.502496338885567,sine,laptop_4kHz
