Time,CH1,CH2
-0.016,0.07200000000000001,0.016
-0.015984,0.056,0.04
-0.015968,0.056,0.04
-0.015952,0.032,0.048
-0.015936,0.0,0.04
-0.01592,-0.04,0.024
-0.015904,-0.07200000000000001,0.0
-0.015888,-0.07200000000000001,0.0
-0.015872,-0.088,-0.032
-0.015856000000000002,-0.07200000000000001,-0.032
-0.01584,-0.056,-0.048
-0.015824,-0.024,-0.04
-0.015808,0.008,-0.024
-0.015792,0.056,-0.016
-0.015776000000000002,0.07200000000000001,0.008
-0.01576,0.064,0.0
-0.015744,0.07200000000000001,0.032
-0.015728,0.07200000000000001,0.04
-0.015712,0.04,0.048
-0.015696,0.0,0.048
-0.01568,-0.024,0.04
-0.015664,-0.04,0.016
-0.015648,-0.064,0.016
-0.015632,-0.07200000000000001,-0.008
-0.015616,-0.096,-0.024
-0.015600000000000001,-0.07200000000000001,-0.032
-0.015584,-0.032,-0.032
-0.015568,-0.016,-0.032
-0.015552,0.016,-0.016
-0.015536000000000001,0.04,-0.024
-0.01552,0.064,0.0
-0.015504,0.07200000000000001,0.04
-0.015488,0.064,0.032
-0.015472,0.056,0.048
-0.015456000000000001,0.032,0.056
-0.01544,0.0,0.048
-0.015424,-0.024,0.024
-0.015408,-0.064,0.032
-0.015392000000000001,-0.088,-0.008
-0.015376,-0.10400000000000001,-0.024
-0.01536,-0.08,-0.016
-0.015344,-0.048,-0.032
-0.015328,-0.032,-0.04
-0.015312000000000001,0.0,-0.032
-0.015296,0.032,-0.024
-0.01528,0.048,-0.008
-0.015264,0.08,0.016
-0.015248000000000001,0.07200000000000001,0.04
-0.015232,0.048,0.032
-0.015216,0.04,0.048
-0.0152,0.024,0.056
-0.015184,-0.024,0.048
-0.015168000000000001,-0.056,0.016
-0.015152,-0.064,0.0
-0.015136,-0.08,-0.016
-0.01512,-0.08,-0.024
-0.015104000000000001,-0.056,-0.032
-0.015088,-0.048,-0.056
-0.015072,-0.024,-0.048
-0.015056,0.024,-0.024
-0.015040000000000001,0.04,0.0
-0.015024000000000001,0.064,-0.008
-0.015008,0.08,0.008
-0.014992,0.08,0.016
-0.014976,0.064,0.04
-0.014960000000000001,0.048,0.064
-0.014944,0.008,0.032
-0.014928,-0.04,0.032
-0.014912,-0.04,0.024
-0.014896,-0.064,-0.008
-0.01488,-0.08,-0.008
-0.014864,-0.088,-0.04
-0.014848,-0.064,-0.04
-0.014832,-0.04,-0.048
-0.014816000000000001,0.0,-0.032
-0.0148,0.016,-0.048
-0.014784,0.048,-0.024
-0.014768,0.07200000000000001,0.0
-0.014752000000000001,0.088,0.016
-0.014736,0.07200000000000001,0.048
-0.01472,0.04,0.048
-0.014704,0.024,0.048
-0.014688,0.0,0.048
-0.014672000000000001,-0.032,0.032
-0.014656,-0.064,0.016
-0.01464,-0.10400000000000001,0.0
-0.014624,-0.096,-0.032
-0.014608,-0.07200000000000001,-0.024
-0.014592,-0.056,-0.024
-0.014576,-0.04,-0.04
-0.01456,-0.008,-0.056
-0.014544000000000001,0.032,-0.024
-0.014528000000000001,0.056,0.008
-0.014512,0.07200000000000001,0.016
-0.014496,0.07200000000000001,0.032
-0.01448,0.056,0.048
-0.014464000000000001,0.048,0.048
-0.014448,0.016,0.056
-0.014432,-0.024,0.056
-0.014416,-0.064,0.016
-0.0144,-0.088,0.016
-0.014384000000000001,-0.096,0.016
-0.014368,-0.07200000000000001,-0.016
-0.014352,-0.08,-0.032
-0.014336,-0.048,-0.032
-0.014320000000000001,-0.008,-0.032
-0.014304,0.016,-0.04
-0.014288,0.04,-0.016
-0.014272,0.056,0.008
-0.014256000000000001,0.064,0.016
-0.014240000000000001,0.064,0.032
-0.014224,0.064,0.056
-0.014208,0.032,0.04
-0.014192,-0.008,0.056
-0.014176000000000001,-0.024,0.032
-0.01416,-0.048,0.008
-0.014144,-0.07200000000000001,0.0
-0.014128,-0.07200000000000001,-0.008
-0.014112,-0.096,-0.04
-0.014096000000000001,-0.07200000000000001,-0.04
-0.01408,-0.032,-0.032
-0.014064,-0.016,-0.032
-0.014048,0.016,-0.032
-0.014032000000000001,0.056,-0.016
-0.014016,0.088,-0.008
-0.014,0.08,0.032
-0.013984,0.08,0.048
-0.013968000000000001,0.048,0.04
-0.013952,0.008,0.032
-0.013936,-0.008,0.04
-0.01392,-0.032,0.016
-0.013904,-0.07200000000000001,0.008
-0.013888000000000001,-0.08,-0.024
-0.013872,-0.088,-0.032
-0.013856,-0.07200000000000001,-0.04
-0.01384,-0.04,-0.04
-0.013824,-0.008,-0.04
-0.013808,-0.008,-0.056
-0.013792,0.04,-0.024
-0.013776,0.07200000000000001,-0.008
-0.013760000000000001,0.07200000000000001,0.024
-0.013744000000000001,0.064,0.04
-0.013728,0.056,0.048
-0.013712,0.048,0.04
-0.013696,0.016,0.056
-0.013680000000000001,-0.016,0.032
-0.013664,-0.07200000000000001,0.032
-0.013648,-0.07200000000000001,0.008
-0.013632,-0.07200000000000001,-0.008
-0.013616,-0.08,-0.024
-0.013600000000000001,-0.08,-0.024
-0.013584,-0.048,-0.048
