Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Signal Shape,Signal Frequency
1,43.84305529294441,38.06410114832252,-5.778954144621892,-31.955534381585426,-6.810196665326691,sine,1kHz
2,43.02978744133079,38.02270863606204,-5.007078805268748,-30.45943179514392,-6.839278608605385,sine,1kHz
3,42.972755074151856,38.34090070663529,-4.631854367516567,-31.17238435424732,-6.884567345406119,sine,1kHz
4,43.64010380930813,38.149620548402034,-5.490483260906096,-30.99849367556547,-6.838937579423484,sine,1kHz
5,43.66173092000564,37.943596493052446,-5.718134426953192,-30.311835960013163,-6.617532071011131,sine,1kHz
6,43.39099436159957,38.49614875809039,-4.894845603509175,-30.55351034794727,-6.955733612319577,sine,1kHz
7,43.52269515907417,38.05934148206147,-5.463353677012698,-29.787978930531814,-6.585237655973035,sine,1kHz
8,43.11443502534595,38.25775853621713,-4.856676489128816,-30.649653397216646,-6.844604842693568,sine,1kHz
9,43.42155900423251,38.15281082420542,-5.268748180027096,-29.135528043063598,-6.788660709642814,sine,1kHz
10,43.83166663586842,38.230180538871096,-5.601486096997327,-30.189518486825605,-6.748427082091054,sine,1kHz
