Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,72.30386258975142,63.71940735431199,-8.584455235439428,-43.36042254700837,-15.092962045469944,3.5568,1.2096,sine,1kHz,20250320_230642,,,
2,72.27667197964018,63.70672415643858,-8.569947823201602,-52.996166367878494,-15.064706468443248,3.5423999999999998,1.2096,sine,1kHz,20250320_230650,,,
3,71.88430891384937,63.60399811860485,-8.280310795244517,-45.304300445996745,-14.838483177506097,3.5423999999999998,1.2096,sine,1kHz,20250320_230658,,,
4,71.79947858857179,63.911082620178696,-7.888395968393091,-56.645395203333635,-14.670438306931393,3.5423999999999998,1.2096,sine,1kHz,20250320_230705,,,
5,72.00968723009197,62.88446453977453,-9.125222690317443,-42.36608734815715,-14.987776858571923,3.5568,1.2096,sine,1kHz,20250320_230713,,,
6,72.03106353015576,63.024045357011566,-9.007018173144196,-50.09941902520688,-15.085239823428765,3.5568,1.1952,sine,1kHz,20250320_230721,,,
7,72.43546138669063,63.732146857012225,-8.703314529678408,-54.51982024353573,-14.873919825517607,3.5568,1.1952,sine,1kHz,20250320_230728,,,
8,71.80996295135748,63.601040765548575,-8.208922185808902,-55.99612587459261,-15.009849962371437,3.5423999999999998,1.1952,sine,1kHz,20250320_230736,,,
9,72.0361078530877,63.07094196588728,-8.96516588720042,-50.03256420899007,-15.202384749851989,3.5423999999999998,1.2096,sine,1kHz,20250320_230744,,,
10,71.92266740211637,63.3928223620196,-8.529845040096774,-54.22068257091424,-14.684589899264457,3.5423999999999998,1.2096,sine,1kHz,20250320_230751,,,
