Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Signal Shape,Signal Frequency
1,46.06498955685418,46.05191637598524,-0.013073180868936163,7.950357194381695,7.36962428833583,sine,20Hz
2,45.61309474545741,46.72501302994821,1.1119182844907982,7.858951132640682,7.2012881432981635,sine,20Hz
3,46.0515476007944,46.38197608222616,0.33042848143175974,7.834081543269189,7.191043338090246,sine,20Hz
4,45.263154914709304,44.424083043463945,-0.8390718712453591,7.9888512160142024,7.507930991433983,sine,20Hz
5,45.24598964906342,44.57479090139853,-0.6711987476648886,8.112328425389343,7.6373927774473955,sine,20Hz
6,43.29391309371744,39.918591358380795,-3.375321735336648,8.51009642990701,8.628513932528657,sine,20Hz
7,45.69540351232523,45.74096458550487,0.0455610731796412,7.953286133875745,7.431252530811475,sine,20Hz
8,45.69540351232523,45.74096458550487,0.0455610731796412,7.953286133875745,7.431252530811475,sine,20Hz
9,46.05818061498181,47.17208323268524,1.113902617703431,7.8317013866483,7.208892268298896,sine,20Hz
10,44.60087480491396,44.25028882313745,-0.35058598177650424,8.183798864494193,7.713190946406858,sine,20Hz
