Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Signal Shape,Signal Frequency
1,43.38057932804645,29.162819664722683,-14.217759663323768,-31.73593261039404,-18.94097684886718,sine,1kHz
2,44.36268555097485,28.04976615470871,-16.312919396266143,-29.497076122900737,-19.886214336330312,sine,1kHz
3,44.24005842412332,25.387667834813183,-18.852390589310136,-32.02942306088784,-17.083590805860492,sine,1kHz
4,43.85989461209135,25.905368776442064,-17.95452583564929,-33.85409913496155,-17.08876775932999,sine,1kHz
5,43.46750914901736,29.74981395318805,-13.717695195829311,-30.75838392709941,-19.594160701431612,sine,1kHz
6,43.46104090610184,28.408230239037184,-15.052810667064659,-30.824190003976966,-20.312690255280472,sine,1kHz
7,43.77572642756772,27.944929372133622,-15.830797055434097,-31.599159647569394,-18.02733883326601,sine,1kHz
8,43.416686436553455,27.679404720511457,-15.737281716041998,-29.17252960090586,-18.886148247433162,sine,1kHz
9,43.7658143398399,27.964754387303863,-15.801059952536036,-30.060505124451872,-19.90900055230432,sine,1kHz
10,43.382722311626154,28.021892870133808,-15.360829441492346,-30.192976957560028,-16.78041207166168,sine,1kHz
