Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,71.92540406399847,57.57408709200929,-14.351316971989178,-53.46813194220019,-33.5017857209443,3.5279999999999996,0.7343999999999999,sine,1kHz,20250320_230446,,,
2,72.49754935658302,58.262061832854506,-14.235487523728516,-55.99377870351455,-40.56417913216631,3.5279999999999996,0.7343999999999999,sine,1kHz,20250320_230453,,,
3,72.41711835328667,57.578576111097775,-14.838542242188893,-56.49572365380514,-39.269860175229226,3.5279999999999996,0.7488,sine,1kHz,20250320_230501,,,
4,71.93245976052084,57.67714794819686,-14.255311812323981,-51.61410339749702,-23.652582325100656,3.5279999999999996,0.7488,sine,1kHz,20250320_230509,,,
5,71.85337173682692,57.34893953865384,-14.504432198173077,-50.10665175705947,-35.15098333550387,3.5136,0.7343999999999999,sine,1kHz,20250320_230516,,,
6,71.83491325850949,57.45504485721065,-14.379868401298836,-35.17398565609773,-43.272942875487566,3.5279999999999996,0.7343999999999999,sine,1kHz,20250320_230524,,,
7,71.92260215262282,57.551105335946275,-14.37149681667654,-53.26438799345361,-40.17406496025526,3.5279999999999996,0.7343999999999999,sine,1kHz,20250320_230532,,,
8,71.8758770046121,57.57094982786583,-14.304927176746261,-57.29943505184885,-37.55456493912209,3.5279999999999996,0.7343999999999999,sine,1kHz,20250320_230539,,,
9,71.79661379601434,57.73134209599949,-14.065271700014854,-39.27118050534649,-42.465816272079635,3.5279999999999996,0.7343999999999999,sine,1kHz,20250320_230547,,,
10,71.96778451935187,57.9480536430644,-14.019730876287468,-34.72957649339867,-28.702484732287544,3.5279999999999996,0.7343999999999999,sine,1kHz,20250320_230555,,,
