Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Signal Shape,Signal Frequency
1,45.78859497838805,40.80328280020717,-4.985312178180877,8.022875486525377,7.644321283478288,sine,20Hz
2,45.58177181274095,40.95595723592798,-4.625814576812971,7.819562151886772,7.688728872457851,sine,20Hz
3,46.03203950689086,41.37473048936719,-4.657309017523673,7.861763349523568,7.640768365331062,sine,20Hz
4,45.563337310904856,40.817193752055445,-4.746143558849411,7.847540386255738,7.6539336118984185,sine,20Hz
5,46.08408415397167,40.60937118885861,-5.4747129651130635,7.842144310640781,7.763136232715566,sine,20Hz
6,44.33344510002192,40.615260793641035,-3.718184306380884,8.370178759714666,7.735257936171095,sine,20Hz
7,45.50404976118793,40.19239471192308,-5.31165504926485,7.9808832164621615,7.986151515136816,sine,20Hz
8,44.869027851712744,40.930139362843796,-3.9388884888689475,8.168302919284555,7.706745074824158,sine,20Hz
9,45.76304701810009,40.84238958947576,-4.920657428624331,7.89308115291317,7.799053751978309,sine,20Hz
10,45.598664390938424,41.6132813652872,-3.985383025651224,7.913820492649767,7.642164736972584,sine,20Hz
