Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,72.26546328374853,65.13554392168433,-7.1299193620642,-53.27008581690269,-33.955847629892034,3.5136,2.1167999999999996,sine,1kHz,20250320_231415,,,
2,71.81527144774604,65.25154363230945,-6.563727815436593,-54.8750335435017,-42.224181530108666,3.5279999999999996,2.1456,sine,1kHz,20250320_231423,,,
3,71.77609420054638,64.65699645915741,-7.11909774138897,-56.406301213441985,-37.534081898111324,3.5279999999999996,2.1311999999999998,sine,1kHz,20250320_231431,,,
4,72.13742215010366,64.46566224584964,-7.671759904254017,-55.080060213027345,-34.33239890045981,3.5279999999999996,2.1311999999999998,sine,1kHz,20250320_231438,,,
5,71.8292022509895,65.46528388047656,-6.363918370512934,-56.14429945683915,-44.861069616055204,3.5279999999999996,2.1167999999999996,sine,1kHz,20250320_231446,,,
6,71.84338737543234,65.24733520087483,-6.596052174557514,-25.621181465751974,-41.51262127609606,3.5136,2.1311999999999998,sine,1kHz,20250320_231454,,,
7,71.92487394571903,65.80240670514463,-6.1224672405743945,-54.591819457062996,-39.81320774816562,3.5279999999999996,2.1456,sine,1kHz,20250320_231501,,,
8,72.27351092055042,65.39867623479716,-6.874834685753257,-54.53273109825218,-36.52526894583389,3.5136,2.1456,sine,1kHz,20250320_231509,,,
9,72.22768734320026,64.85840084623521,-7.369286496965046,-54.45910513290479,-39.198850909747534,3.5423999999999998,2.1311999999999998,sine,1kHz,20250320_231517,,,
10,71.9087473288869,64.73427817317072,-7.1744691557161815,-53.80303408646725,-36.79719961983973,3.5279999999999996,2.16,sine,1kHz,20250320_231524,,,
