Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,71.3698581500052,64.4921420499881,-6.877716100017096,-54.35520703201842,-38.004678925443926,3.5279999999999996,2.0304,sine,1kHz,20250320_230935,,,
2,72.00401441898846,64.2304868194721,-7.773527599516356,-55.402493618505495,-42.77491125280993,3.5279999999999996,2.0304,sine,1kHz,20250320_230943,,,
3,71.78295752945745,64.37392839233495,-7.409029137122502,-53.21043888616141,-39.815126913083695,3.5279999999999996,2.0304,sine,1kHz,20250320_230950,,,
4,72.34605217742642,64.58808555769716,-7.75796661972926,-55.55581669290316,-34.64857198820153,3.5279999999999996,2.016,sine,1kHz,20250320_230958,,,
5,72.091950383307,64.89903217834541,-7.192918204961586,-30.83573641648616,-39.989624474166796,3.5279999999999996,2.0304,sine,1kHz,20250320_231005,,,
6,72.27033001035686,64.54669134975344,-7.723638660603413,-53.97414968251574,-36.398393546026064,3.5279999999999996,2.0016,sine,1kHz,20250320_231013,,,
7,71.83933050421138,64.53898115848615,-7.300349345725223,-43.616899369245445,-39.18142288378303,3.5279999999999996,2.016,sine,1kHz,20250320_231021,,,
8,71.82344349507846,64.17104139364886,-7.652402101429601,-52.45987970823415,-41.635149485745956,3.5423999999999998,2.0304,sine,1kHz,20250320_231029,,,
9,71.76883011829923,64.88735999889072,-6.881470119408519,-56.33744384795959,-38.994795518017554,3.5279999999999996,2.016,sine,1kHz,20250320_231036,,,
10,71.6472476920494,64.14351003228666,-7.5037376597627485,-50.775380228424936,-39.30572296259788,3.5279999999999996,2.0304,sine,1kHz,20250320_231044,,,
